Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.242-65.39.197.205-32590-443-6,65.39.197.205,443,131.202.240.242,32590,6,30/04/2015 01:01:17,85,2,0,53.0,0.0,53.0,0.0,26.5,37.476659402887016,0,0,0,0,623529.4117647058,23529.41176470588,85.0,0.0,85.0,85.0,85.0,85.0,0.0,85.0,85.0,0,0,0,0,0,1,0,0,0,40,0,23529.41176470588,0.0,0.0,53.0,35.33333333333333,30.599564267050166,936.3333333333334,0,1,0,0,1,0,0,0,0.0,53.0,26.5,0.0,0,0,0,0,0,0,2,53,0,0,45,-1,0,20,0,0,0,0,0,0,0,0,No Label
131.202.240.242-173.252.100.18-32597-443-6,173.252.100.18,443,131.202.240.242,32597,6,30/04/2015 01:01:17,113,3,1,76.0,0.0,45.0,0.0,25.333333333333336,23.028967265887832,0.0,0.0,0.0,0.0,672566.3716814159,35398.23008849558,37.666666666666664,19.604421270043485,56.0,17.0,113.0,56.5,23.33452377915607,73.0,40.0,0,0,0,0,0,1,0,0,0,60,20,26548.672566371682,8849.557522123894,0.0,45.0,24.2,22.81885185542866,520.7,0,1,0,0,1,0,0,0,0.0,30.25,25.333333333333332,0.0,0,0,0,0,0,0,3,76,1,0,86,16537,1,20,0,0,0,0,0,0,0,0,No Label
131.202.240.242-173.252.100.18-32597-443-6,131.202.240.242,32597,173.252.100.18,443,6,30/04/2015 01:01:17,646,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,3095.9752321981423,646.0,0.0,646.0,646.0,646.0,646.0,0.0,646.0,646.0,0,0,0,0,0,0,0,0,0,40,0,3095.9752321981423,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,16537,-1,0,20,0,0,0,0,0,0,0,0,No Label
131.202.240.242-173.252.100.18-32598-443-6,173.252.100.18,443,131.202.240.242,32598,6,30/04/2015 01:01:17,155,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,200000.0,12903.225806451614,155.0,0.0,155.0,155.0,155.0,155.0,0.0,155.0,155.0,0,0,0,0,0,1,0,0,0,40,0,12903.225806451614,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,0,0,0,0,0,0,2,31,0,0,92,-1,0,20,0,0,0,0,0,0,0,0,No Label
131.202.240.242-173.252.100.1-32593-443-6,173.252.100.1,443,131.202.240.242,32593,6,30/04/2015 01:01:17,116,3,1,76.0,0.0,45.0,0.0,25.333333333333336,23.028967265887832,0.0,0.0,0.0,0.0,655172.4137931034,34482.75862068965,38.666666666666664,18.610033136277146,56.0,19.0,116.0,58.0,24.041630560342615,75.0,41.0,0,0,0,0,0,1,0,0,0,60,20,25862.068965517243,8620.689655172413,0.0,45.0,24.2,22.81885185542866,520.7,0,1,0,0,1,0,0,0,0.0,30.25,25.333333333333332,0.0,0,0,0,0,0,0,3,76,1,0,173,16514,1,20,0,0,0,0,0,0,0,0,No Label
131.202.240.242-173.252.100.1-32593-443-6,131.202.240.242,32593,173.252.100.1,443,6,30/04/2015 01:01:17,691,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2894.356005788712,691.0,0.0,691.0,691.0,691.0,691.0,0.0,691.0,691.0,0,0,0,0,0,0,0,0,0,40,0,2894.356005788712,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,16514,-1,0,20,0,0,0,0,0,0,0,0,No Label
131.202.240.242-173.252.100.18-32598-443-6,131.202.240.242,32598,173.252.100.18,443,6,30/04/2015 01:01:17,3256975,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.614066733702285,3256975.0,0.0,3256975.0,3256975.0,3256975.0,3256975.0,0.0,3256975.0,3256975.0,0,0,0,0,0,0,0,0,0,40,0,0.614066733702285,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,16246,-1,0,20,0,0,0,0,0,0,0,0,No Label
131.202.240.242-65.39.197.205-32590-443-6,131.202.240.242,32590,65.39.197.205,443,6,30/04/2015 01:01:17,3532164,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.566225124314726,3532164.0,0.0,3532164.0,3532164.0,3532164.0,3532164.0,0.0,3532164.0,3532164.0,0,0,0,0,0,0,0,0,0,40,0,0.566225124314726,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,16339,-1,0,20,0,0,0,0,0,0,0,0,No Label
131.202.240.242-54.230.55.141-32568-80-6,54.230.55.141,80,131.202.240.242,32568,6,30/04/2015 01:01:36,4868544,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6162006546515755,2434272.0,3442456.02611159,4868456.0,88.0,0,0,0,0,0,4868456.0,4868456.0,0.0,4868456.0,4868456.0,0,0,0,0,20,40,0.20540021821719184,0.4108004364343837,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,123,16445,0,20,0,0,0,0,0,0,0,0,No Label
131.202.240.242-173.252.100.27-32576-443-6,173.252.100.27,443,131.202.240.242,32576,6,30/04/2015 01:01:12,91353729,163,124,59703.0,28727.0,1350.0,0.0,366.2760736196319,471.57134605910323,1286.0,0.0,231.6693548387096,320.2521801497022,967.9955155415714,3.141634207400554,319418.63286713295,1360489.321582935,1.2844742E7,7.0,9.1297192E7,563562.9135802465,1799764.9943213875,1.3028839E7,7.0,9.1348108E7,742667.5447154468,2005563.636640821,1.2844742E7,32.0,1,0,0,0,3260,2480,1.7842730864330671,1.3573611209674867,0.0,1350.0,308.71874999999983,417.1679790125492,174029.1227134147,0,1,0,0,1,0,0,0,0.0,309.79442508710804,366.2760736196319,231.66935483870967,0,0,0,0,0,0,163,59703,124,28727,437,16526,146,20,8992626.2,8555870.062756604,2.0246699E7,192844.0,9207913.0,3060398.104339205,1.2844742E7,5489522.0,No Label
