Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.87-173.194.123.8-65018-443-6,173.194.123.8,443,131.202.240.87,65018,6,30/04/2015 01:20:35,1,2,0,55.0,0.0,55.0,0.0,27.5,38.890872965260115,0,0,0,0,5.5E7,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,1,0,0,0,40,0,2000000.0,0.0,0.0,55.0,36.66666666666667,31.754264805429415,1008.3333333333333,0,1,0,0,1,0,0,0,0.0,55.0,27.5,0.0,0,0,0,0,0,0,2,55,0,0,369,-1,0,20,0,0,0,0,0,0,0,0,No Label
131.202.240.87-173.194.123.8-65018-443-6,131.202.240.87,65018,173.194.123.8,443,6,30/04/2015 01:20:35,1035,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1932.3671497584544,1035.0,0.0,1035.0,1035.0,1035.0,1035.0,0.0,1035.0,1035.0,0,0,0,0,0,0,0,0,0,40,0,1932.3671497584544,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,16523,-1,0,20,0,0,0,0,0,0,0,0,No Label
131.202.240.87-74.125.226.183-65020-443-6,74.125.226.183,443,131.202.240.87,65020,6,30/04/2015 01:20:39,1,2,0,55.0,0.0,55.0,0.0,27.5,38.890872965260115,0,0,0,0,5.5E7,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,1,0,0,0,40,0,2000000.0,0.0,0.0,55.0,36.66666666666667,31.754264805429415,1008.3333333333333,0,1,0,0,1,0,0,0,0.0,55.0,27.5,0.0,0,0,0,0,0,0,2,55,0,0,352,-1,0,20,0,0,0,0,0,0,0,0,No Label
131.202.240.87-74.125.226.183-65020-443-6,131.202.240.87,65020,74.125.226.183,443,6,30/04/2015 01:20:39,578,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,3460.2076124567475,578.0,0.0,578.0,578.0,578.0,578.0,0.0,578.0,578.0,0,0,0,0,0,0,0,0,0,40,0,3460.2076124567475,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,16459,-1,0,20,0,0,0,0,0,0,0,0,No Label
131.202.240.87-74.125.226.179-65022-443-6,74.125.226.179,443,131.202.240.87,65022,6,30/04/2015 01:20:40,1,2,0,55.0,0.0,55.0,0.0,27.5,38.890872965260115,0,0,0,0,5.5E7,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,1,0,0,0,40,0,2000000.0,0.0,0.0,55.0,36.66666666666667,31.754264805429415,1008.3333333333333,0,1,0,0,1,0,0,0,0.0,55.0,27.5,0.0,0,0,0,0,0,0,2,55,0,0,352,-1,0,20,0,0,0,0,0,0,0,0,No Label
131.202.240.87-74.125.226.179-65022-443-6,131.202.240.87,65022,74.125.226.179,443,6,30/04/2015 01:20:40,563,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,3552.3978685612788,563.0,0.0,563.0,563.0,563.0,563.0,0.0,563.0,563.0,0,0,0,0,0,0,0,0,0,40,0,3552.3978685612788,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,16459,-1,0,20,0,0,0,0,0,0,0,0,No Label
131.202.240.87-216.58.219.237-65034-443-6,216.58.219.237,443,131.202.240.87,65034,6,30/04/2015 01:20:46,1,2,0,55.0,0.0,55.0,0.0,27.5,38.890872965260115,0,0,0,0,5.5E7,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,1,0,0,0,40,0,2000000.0,0.0,0.0,55.0,36.66666666666667,31.754264805429415,1008.3333333333333,0,1,0,0,1,0,0,0,0.0,55.0,27.5,0.0,0,0,0,0,0,0,2,55,0,0,352,-1,0,20,0,0,0,0,0,0,0,0,No Label
131.202.240.87-216.58.219.237-65034-443-6,131.202.240.87,65034,216.58.219.237,443,6,30/04/2015 01:20:46,2067,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,967.5858732462507,2067.0,0.0,2067.0,2067.0,2067.0,2067.0,0.0,2067.0,2067.0,0,0,0,0,0,0,0,0,0,40,0,967.5858732462507,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,16459,-1,0,20,0,0,0,0,0,0,0,0,No Label
131.202.240.87-74.125.226.171-65036-443-6,74.125.226.171,443,131.202.240.87,65036,6,30/04/2015 01:21:00,1,2,0,55.0,0.0,55.0,0.0,27.5,38.890872965260115,0,0,0,0,5.5E7,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,1,0,0,0,40,0,2000000.0,0.0,0.0,55.0,36.66666666666667,31.754264805429415,1008.3333333333333,0,1,0,0,1,0,0,0,0.0,55.0,27.5,0.0,0,0,0,0,0,0,2,55,0,0,352,-1,0,20,0,0,0,0,0,0,0,0,No Label
131.202.240.87-74.125.226.171-65036-443-6,131.202.240.87,65036,74.125.226.171,443,6,30/04/2015 01:21:00,861,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2322.8803716608595,861.0,0.0,861.0,861.0,861.0,861.0,0.0,861.0,861.0,0,0,0,0,0,0,0,0,0,40,0,2322.8803716608595,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,16424,-1,0,20,0,0,0,0,0,0,0,0,No Label
