Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.87-131.202.6.26-38035-13111-6,131.202.240.87,38035,131.202.6.26,13111,6,05/05/2015 02:14:23,276340,4,3,120.0,192.0,120.0,0.0,30.0,60.0,192.0,0.0,64.0,110.85125168440814,1129.043931388869,25.331113845263083,46056.66666666667,85599.15978248074,214168.0,57.0,276340.0,92113.33333333333,157516.29529141844,273997.0,808.0,274853.0,137426.5,108528.87009685488,214168.0,60685.0,0,0,0,0,92,72,14.474922197293191,10.856191647969894,0.0,192.0,39.0,74.73381334538509,5585.142857142858,0,0,0,1,0,0,0,0,0.0,44.57142857142857,30.0,64.0,0,0,0,0,0,0,4,120,3,192,8192,516,1,20,0,0,0,0,0,0,0,0,No Label
131.202.240.87-131.202.6.26-38035-13111-6,131.202.6.26,13111,131.202.240.87,38035,6,05/05/2015 02:14:23,45,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,44444.444444444445,45.0,0.0,45.0,45.0,45.0,45.0,0.0,45.0,45.0,0,0,0,0,0,0,0,0,0,40,0,44444.444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,516,-1,0,20,0,0,0,0,0,0,0,0,No Label
131.202.240.87-131.202.6.26-38037-13111-6,131.202.240.87,38037,131.202.6.26,13111,6,05/05/2015 02:14:27,275714,4,3,120.0,192.0,120.0,0.0,30.0,60.0,192.0,0.0,64.0,110.85125168440814,1131.6073902667256,25.38862734572782,45952.33333333333,85028.75619145953,212145.0,64.0,275714.0,91904.66666666667,157965.05814367093,274307.0,669.0,274624.0,137312.0,105829.84351306582,212145.0,62479.0,0,0,0,0,92,72,14.50778705470161,10.880840291026209,0.0,192.0,39.0,74.73381334538509,5585.142857142858,0,0,0,1,0,0,0,0,0.0,44.57142857142857,30.0,64.0,0,0,0,0,0,0,4,120,3,192,8192,516,1,20,0,0,0,0,0,0,0,0,No Label
131.202.240.87-131.202.6.26-38037-13111-6,131.202.6.26,13111,131.202.240.87,38037,6,05/05/2015 02:14:27,472,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,4237.28813559322,472.0,0.0,472.0,472.0,472.0,472.0,0.0,472.0,472.0,0,0,0,0,0,0,0,0,0,40,0,4237.28813559322,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,516,-1,0,20,0,0,0,0,0,0,0,0,No Label
131.202.240.87-131.202.6.26-38045-13111-6,131.202.240.87,38045,131.202.6.26,13111,6,05/05/2015 02:15:05,276658,4,3,120.0,192.0,120.0,0.0,30.0,60.0,192.0,0.0,64.0,110.85125168440814,1127.746170361963,25.301997411967122,46109.66666666667,91134.04841806748,228466.0,58.0,276658.0,92219.33333333333,157845.86515120798,274484.0,984.0,275371.0,137685.5,128383.01429901076,228466.0,46905.0,0,0,0,0,92,72,14.458284235409783,10.843713176557337,0.0,192.0,39.0,74.73381334538509,5585.142857142858,0,0,0,1,0,0,0,0,0.0,44.57142857142857,30.0,64.0,0,0,0,0,0,0,4,120,3,192,8192,516,1,20,0,0,0,0,0,0,0,0,No Label
131.202.240.87-131.202.6.26-38045-13111-6,131.202.6.26,13111,131.202.240.87,38045,6,05/05/2015 02:15:05,41,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,48780.487804878045,41.0,0.0,41.0,41.0,41.0,41.0,0.0,41.0,41.0,0,0,0,0,0,0,0,0,0,40,0,48780.487804878045,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,516,-1,0,20,0,0,0,0,0,0,0,0,No Label
131.202.240.87-224.0.0.252-60084-5355-17,131.202.240.87,60084,224.0.0.252,5355,17,05/05/2015 02:14:28,413734,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.34852344743241,4.83402379306511,413734.0,0.0,413734.0,413734.0,413734.0,413734.0,0.0,413734.0,413734.0,0,0,0,0,0,0,0,0,0,16,0,4.83402379306511,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,2,44,0,0,-1,-1,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.87-131.202.243.255-137-137-17,131.202.240.87,137,131.202.243.255,137,17,05/05/2015 02:14:21,18797771,12,0,600.0,0.0,50.0,50.0,50.0,0.0,0,0,0,0,31.9186780177288,0.638373560354576,1708888.2727272727,2728205.775285621,8036869.0,27253.0,1.8797771E7,1708888.2727272727,2728205.775285621,8036869.0,27253.0,0,0,0,0,0,0,0,0,0,96,0,0.638373560354576,0.0,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,54.166666666666664,50.0,0.0,0,0,0,0,0,0,12,600,0,0,-1,-1,11,8,1504380.5,1778.373554684167,1505638.0,1503123.0,7126836.0,1286981.0108070748,8036869.0,6216803.0,No Label
131.202.240.87-224.0.0.252-51220-5355-17,131.202.240.87,51220,224.0.0.252,5355,17,05/05/2015 02:14:28,414068,2,0,44.0,0.0,22.0,22.0,22.0,0.0,0,0,0,0,106.26273945342311,4.830124520610141,414068.0,0.0,414068.0,414068.0,414068.0,414068.0,0.0,414068.0,414068.0,0,0,0,0,0,0,0,0,0,16,0,4.830124520610141,0.0,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,33.0,22.0,0.0,0,0,0,0,0,0,2,44,0,0,-1,-1,1,8,0,0,0,0,0,0,0,0,No Label
131.202.240.242-131.202.240.87-22-38048-6,131.202.240.87,38048,131.202.240.242,22,6,05/05/2015 02:15:16,1391,3,2,43.0,0.0,43.0,0.0,14.333333333333334,24.826061575153908,0.0,0.0,0.0,0.0,30913.012221423436,3594.5363048166782,347.75,360.5795104180676,840.0,61.0,551.0,275.5,253.85133444597056,455.0,96.0,997.0,997.0,0.0,997.0,997.0,0,0,0,0,72,52,2156.721782890007,1437.8145219266714,0.0,43.0,7.166666666666666,17.55467648994611,308.1666666666667,0,0,0,1,0,0,0,0,0.0,8.6,14.333333333333334,0.0,0,0,0,0,0,0,3,43,2,0,65535,0,1,20,0,0,0,0,0,0,0,0,No Label
