Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.150-104.156.81.217-49394-443-6,131.202.240.150,49394,104.156.81.217,443,6,02/04/2015 01:12:12,10384346,11,13,1052.0,19133.0,722.0,0.0,95.63636363636364,218.67019583257007,8090.0,0.0,1471.769230769231,2235.3453183585957,1943.7911641233832,2.3111710646005053,451493.3043478261,2073350.1546459983,9960688.0,23.0,423658.0,42365.799999999996,71486.49151148924,236044.0,161.0,1.0340693E7,861724.4166666667,2865941.3770487183,9960711.0,100.0,0,0,0,0,360,424,1.0592867379418982,1.251884326658607,0.0,8090.0,807.4000000000001,1736.8792896072737,3016749.6666666674,0,0,0,1,0,0,0,0,1.0,841.0416666666666,95.63636363636364,1471.7692307692307,0,0,0,0,0,0,11,1052,13,19133,29200,34,3,32,0,0,0,0,0,0,0,0,No Label
131.202.240.150-23.235.44.143-58975-443-6,131.202.240.150,58975,23.235.44.143,443,6,02/04/2015 01:12:12,10234306,8,9,1186.0,6838.0,618.0,0.0,148.25,260.7652200735367,4014.0,0.0,759.7777777777778,1347.9607540445843,784.0297133972738,1.6610799012654107,639644.125,2498099.7010405827,1.0006866E7,3.0,227440.0,32491.428571428572,40073.42876045233,77146.0,50.0,1.0160395E7,1270049.375,3530368.436254613,1.0006872E7,29.0,0,0,0,0,264,296,0.7816846594190168,0.8793952418463938,0.0,4014.0,445.77777777777777,994.2848186780258,988602.3006535945,0,0,0,1,0,0,0,0,1.0,472.0,148.25,759.7777777777778,0,0,0,0,0,0,8,1186,9,6838,29200,33,3,32,0,0,0,0,0,0,0,0,No Label
131.202.240.150-23.235.44.143-58973-443-6,131.202.240.150,58973,23.235.44.143,443,6,02/04/2015 01:12:12,10237112,7,8,1177.0,3712.0,609.0,0.0,168.14285714285714,271.68206208202787,2233.0,0.0,463.99999999999994,851.389284807904,477.57609763378576,1.4652569982627914,731222.2857142857,2670680.2895406894,1.0009575E7,4.0,227537.0,37922.833333333336,41128.11049594507,78896.0,266.0,1.0163153E7,1451878.9999999998,3773762.635325871,1.0009581E7,11.0,0,0,0,0,232,264,0.6837865991893026,0.7814703990734887,0.0,2233.0,305.56249999999994,629.4595532412441,396219.3291666666,0,0,0,1,0,0,0,0,1.0,325.93333333333334,168.14285714285714,464.0,0,0,0,0,0,0,7,1177,8,3712,29200,33,3,32,0,0,0,0,0,0,0,0,No Label
131.202.240.150-23.235.44.143-58980-443-6,131.202.240.150,58980,23.235.44.143,443,6,02/04/2015 01:12:13,10228791,7,7,1159.0,919.0,591.0,0.0,165.57142857142856,266.856301619965,778.0,0.0,131.28571428571428,289.97512208562205,203.15206362120412,1.3686857029340027,786830.0769230769,2759237.9788559517,9969535.0,3.0,259256.0,43209.333333333336,48751.60571988031,110280.0,225.0,1.0155018E7,1692503.0,4073300.1849029,1.0006773E7,245.0,0,0,0,0,232,232,0.6843428514670014,0.6843428514670014,0.0,778.0,138.53333333333336,261.37872540671344,68318.8380952381,0,0,0,1,0,0,0,0,1.0,148.42857142857142,165.57142857142858,131.28571428571428,0,0,0,0,0,0,7,1159,7,919,29200,33,3,32,0,0,0,0,0,0,0,0,No Label
131.202.240.150-23.235.44.143-58977-443-6,131.202.240.150,58977,23.235.44.143,443,6,02/04/2015 01:12:13,10230176,7,8,1159.0,2945.0,591.0,0.0,165.57142857142856,266.856301619965,1466.0,0.0,368.12499999999994,640.8869830165066,401.16611874517116,1.4662504340101283,730726.8571428572,2670778.9433140703,1.0009465E7,6.0,220711.0,36785.16666666667,39787.11190029589,73480.0,149.0,1.0157415E7,1451059.2857142854,3774062.085096097,1.0009471E7,22.0,0,0,0,0,232,264,0.6842502025380599,0.7820002314720685,0.0,1466.0,256.5,484.82134166446644,235051.7333333333,0,0,0,1,0,0,0,0,1.0,273.6,165.57142857142858,368.125,0,0,0,0,0,0,7,1159,8,2945,29200,33,3,32,0,0,0,0,0,0,0,0,No Label
131.202.240.150-23.235.44.143-58978-443-6,131.202.240.150,58978,23.235.44.143,443,6,02/04/2015 01:12:13,10230429,7,7,1159.0,3035.0,591.0,0.0,165.57142857142856,266.856301619965,2894.0,0.0,433.5714285714286,1086.2188019521138,409.95348288913397,1.3684665618616774,786956.0769230769,2771200.3405588362,1.0009475E7,5.0,220954.0,36825.666666666664,39984.369264334615,73960.0,149.0,1.0157741E7,1692956.8333333333,4074407.9029595656,1.0009487E7,386.0,0,0,0,0,232,232,0.6842332809308387,0.6842332809308387,0.0,2894.0,279.6,748.4100098589962,560117.5428571429,0,0,0,1,0,0,0,0,1.0,299.57142857142856,165.57142857142858,433.57142857142856,0,0,0,0,0,0,7,1159,7,3035,29200,33,3,32,0,0,0,0,0,0,0,0,No Label
131.202.240.150-23.235.44.143-58976-443-6,131.202.240.150,58976,23.235.44.143,443,6,02/04/2015 01:12:12,10502405,10,10,1750.0,7419.0,591.0,0.0,175.0,271.25264975664294,4014.0,0.0,741.9000000000001,1362.846159900506,873.0381279335543,1.9043257234890485,552758.1578947369,2281075.9389577853,9970124.0,3.0,532281.0,59142.33333333333,67118.24384621516,196371.0,46.0,1.0429645E7,1158849.4444444445,3320313.775069689,1.0009913E7,48.0,0,0,0,0,328,328,0.9521628617445242,0.9521628617445242,0.0,4014.0,436.61904761904754,979.4231708608121,959269.7476190475,0,0,0,1,0,0,0,0,1.0,458.45,175.0,741.9,0,0,0,0,0,0,10,1750,10,7419,29200,35,4,32,0,0,0,0,0,0,0,0,No Label
131.202.240.150-23.235.44.143-58972-443-6,131.202.240.150,58972,23.235.44.143,443,6,02/04/2015 01:12:12,10767472,30,41,1789.0,94590.0,636.0,0.0,59.63333333333333,177.1349540718121,8028.0,0.0,2307.0731707317077,1959.08837715714,8950.940387864486,6.593934026482725,153821.02857142856,1190971.9346495888,9972818.0,2.0,794654.0,27401.862068965518,43728.186482539204,159239.0,19.0,1.0693488E7,267337.19999999995,1580421.862010676,1.0009192E7,5.0,0,0,0,0,968,1320,2.7861693069645317,3.8077647195181936,0.0,8028.0,1338.5972222222226,1852.8664178093618,3433113.962245696,0,0,0,1,0,0,0,0,1.0,1357.4507042253522,59.63333333333333,2307.0731707317073,0,0,0,0,0,0,30,1789,41,94590,29200,36,4,32,0,0,0,0,0,0,0,0,No Label
131.202.240.150-23.235.44.143-58969-443-6,131.202.240.150,58969,23.235.44.143,443,6,02/04/2015 01:12:12,10823020,28,31,2928.0,64106.0,591.0,0.0,104.57142857142858,224.11214596325203,16056.0,0.0,2067.935483870968,3013.595824874153,6193.650201145337,5.451343525189827,186603.7931034483,1312774.906364147,1.0010064E7,3.0,812956.0,30109.48148148148,35829.39926219847,112997.0,7.0,1.0748817E7,358293.9,1823455.7365155704,1.0010087E7,7.0,0,0,0,0,904,1000,2.5870782831409347,2.864265242048892,0.0,16056.0,1117.2333333333333,2371.4028628331175,5623551.537853106,0,0,0,1,0,0,0,0,1.0,1136.1694915254238,104.57142857142857,2067.935483870968,0,0,0,0,0,0,28,2928,31,64106,29200,40,6,32,0,0,0,0,0,0,0,0,No Label
131.202.240.150-23.235.44.143-58970-443-6,131.202.240.150,58970,23.235.44.143,443,6,02/04/2015 01:12:12,10954297,14,14,1792.0,29185.0,615.0,0.0,128.0,246.45486402179205,12042.0,0.0,2084.642857142858,3255.807984489892,2827.8400704308087,2.556074570554368,405714.70370370377,2028175.708241974,1.0553089E7,3.0,401208.0,30862.153846153848,36116.19102712373,75234.0,7.0,1.0880323E7,836947.9230769231,2919597.621948313,1.0553102E7,17.0,0,0,0,0,456,456,1.278037285277184,1.278037285277184,0.0,12042.0,1068.1724137931033,2439.073551707778,5949079.790640393,0,0,0,1,0,0,0,0,1.0,1106.3214285714287,128.0,2084.6428571428573,0,0,0,0,0,0,14,1792,14,29185,29200,36,4,32,0,0,0,0,0,0,0,0,No Label
