Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.8.0.14-74.125.226.3-58724-80-6,10.8.0.14,58724,74.125.226.3,80,6,15/04/2015 04:14:38,5482355,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5472100949318313,2741177.5,3840883.1201457432,5457092.0,25263.0,5482355.0,5482355.0,0.0,5482355.0,5482355.0,0,0,0,0,0,0,0,0,0,64,32,0.3648067299545542,0.1824033649772771,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,241,341,0,32,0,0,0,0,0,0,0,0,No Label
10.8.0.14-74.125.226.3-39315-443-6,10.8.0.14,39315,74.125.226.3,443,6,15/04/2015 04:14:59,25356,1,3,46.0,60.0,46.0,46.0,46.0,0.0,60.0,0.0,20.0,34.64101615137755,4180.470105694904,157.75358889414733,8452.0,14492.26317729567,25186.0,10.0,0,0,0,0,0,170.0,85.0,106.06601717798213,160.0,10.0,1,0,0,0,32,96,39.43839722353683,118.3151916706105,0.0,60.0,30.4,28.333725487482226,802.8,0,1,0,0,1,0,0,0,3.0,38.0,46.0,20.0,0,0,0,0,0,0,1,46,3,60,254,514,0,32,0,0,0,0,0,0,0,0,No Label
10.8.0.14-74.125.226.3-39315-443-6,10.8.0.14,39315,74.125.226.3,443,6,15/04/2015 04:14:59,65,3,0,77.0,0.0,46.0,0.0,25.666666666666664,23.459184413217212,0,0,0,0,1184615.3846153847,46153.846153846156,32.5,37.476659402887016,59.0,6.0,65.0,32.5,37.476659402887016,59.0,6.0,0,0,0,0,0,1,0,0,0,96,0,46153.846153846156,0.0,0.0,46.0,30.75,21.68524844220144,470.25,0,1,0,0,1,0,0,0,0.0,41.0,25.666666666666668,0.0,0,0,0,0,0,0,3,77,0,0,254,-1,1,32,0,0,0,0,0,0,0,0,No Label
173.194.123.5-10.8.0.14-443-53935-6,10.8.0.14,53935,173.194.123.5,443,6,15/04/2015 04:15:29,28979,1,2,46.0,60.0,46.0,46.0,46.0,0.0,60.0,0.0,30.0,42.42640687119285,3657.821180855102,103.52324096759722,14489.5,20423.365161011054,28931.0,48.0,0,0,0,0,0,48.0,48.0,0.0,48.0,48.0,1,0,0,0,32,64,34.50774698919907,69.01549397839814,0.0,60.0,38.0,26.178871888095816,685.3333333333334,0,1,0,0,1,0,0,0,2.0,50.666666666666664,46.0,30.0,0,0,0,0,0,0,1,46,2,60,237,375,0,32,0,0,0,0,0,0,0,0,No Label
173.194.123.5-10.8.0.14-443-53935-6,10.8.0.14,53935,173.194.123.5,443,6,15/04/2015 04:15:29,196,3,0,77.0,0.0,46.0,0.0,25.666666666666664,23.459184413217212,0,0,0,0,392857.1428571429,15306.122448979593,98.0,100.40916292848975,169.0,27.0,196.0,98.0,100.40916292848975,169.0,27.0,0,0,0,0,0,1,0,0,0,96,0,15306.122448979593,0.0,0.0,46.0,30.75,21.68524844220144,470.25,0,1,0,0,1,0,0,0,0.0,41.0,25.666666666666668,0.0,0,0,0,0,0,0,3,77,0,0,237,-1,1,32,0,0,0,0,0,0,0,0,No Label
173.194.123.23-10.8.0.14-443-45177-6,10.8.0.14,45177,173.194.123.23,443,6,15/04/2015 04:14:38,58493746,10,10,739.0,345.0,517.0,0.0,73.89999999999999,158.60744693179518,149.0,0.0,34.5,47.42537998442044,18.531895700439495,0.3419168948420571,3078618.2105263155,1.337421409627925E7,5.8307184E7,16.0,5.8493676E7,6499297.333333333,1.942841459409844E7,5.8308372E7,186.0,5.8468047E7,6496449.666666667,1.9438561306859434E7,5.8332592E7,27.0,0,0,0,0,328,328,0.17095844742102856,0.17095844742102856,0.0,517.0,51.61904761904763,113.40391359669921,12860.44761904762,0,0,0,1,0,0,0,0,1.0,54.2,73.9,34.5,0,0,0,0,0,0,10,739,10,345,29200,341,5,32,160980.0,0.0,160980.0,160980.0,5.8307184E7,0.0,5.8307184E7,5.8307184E7,No Label
173.194.123.10-10.8.0.14-443-47639-6,10.8.0.14,47639,173.194.123.10,443,6,15/04/2015 04:14:38,58373570,10,10,739.0,345.0,517.0,0.0,73.89999999999999,158.60744693179518,149.0,0.0,34.5,47.42537998442044,18.5700480542821,0.34262081280963286,3072293.157894737,1.335112615026544E7,5.8205517E7,11.0,5.8373555E7,6485950.555555556,1.9404906737249028E7,5.8232355E7,218.0,5.8347902E7,6483100.222222223,1.940548445907177E7,5.8231026E7,26.0,0,0,0,0,328,328,0.17131040640481643,0.17131040640481643,0.0,517.0,51.61904761904763,113.40391359669921,12860.44761904762,0,0,0,1,0,0,0,0,1.0,54.2,73.9,34.5,0,0,0,0,0,0,10,739,10,345,29200,341,5,32,142441.0,0.0,142441.0,142441.0,5.8205517E7,0.0,5.8205517E7,5.8205517E7,No Label
173.194.123.23-10.8.0.14-443-45175-6,10.8.0.14,45175,173.194.123.23,443,6,15/04/2015 04:14:37,59137316,12,11,739.0,387.0,517.0,0.0,61.58333333333333,146.32122715160477,149.0,0.0,35.18181818181819,45.048458756805836,19.040431256636673,0.3889253276222411,2688059.8181818184,1.2523266892021947E7,5.8757209E7,6.0,5.9137298E7,5376118.0,1.7718135189414036E7,5.8798133E7,125.0,5.9111645E7,5911164.5,1.8577282612828072E7,5.8782805E7,22.0,0,0,0,0,404,360,0.202917562237691,0.1860077653845501,0.0,517.0,46.91666666666667,106.75038607675494,11395.644927536234,0,0,0,1,0,0,0,0,0.0,48.95652173913044,61.583333333333336,35.18181818181818,0,0,0,0,0,0,12,739,11,387,29200,341,5,32,354455.0,0.0,354455.0,354455.0,5.8757209E7,0.0,5.8757209E7,5.8757209E7,No Label
216.58.219.237-10.8.0.14-443-33024-6,10.8.0.14,33024,216.58.219.237,443,6,15/04/2015 04:14:38,58386909,10,10,739.0,345.0,517.0,0.0,73.89999999999999,158.60744693179518,149.0,0.0,34.5,47.42537998442044,18.56580556439458,0.34254253808846086,3072995.210526316,1.3353277039532632E7,5.82151E7,7.0,5.8386888E7,6487432.0,1.9408826518401653E7,5.8244289E7,129.0,5.8360628E7,6484514.222222222,1.940866096127844E7,5.8240909E7,18.0,0,0,0,0,328,328,0.17127126904423043,0.17127126904423043,0.0,517.0,51.61904761904763,113.40391359669921,12860.44761904762,0,0,0,1,0,0,0,0,1.0,54.2,73.9,34.5,0,0,0,0,0,0,10,739,10,345,29200,341,5,32,145945.0,0.0,145945.0,145945.0,5.82151E7,0.0,5.82151E7,5.82151E7,No Label
173.194.123.23-10.8.0.14-443-45177-6,10.8.0.14,45177,173.194.123.23,443,6,15/04/2015 04:15:36,180,3,0,77.0,0.0,46.0,0.0,25.666666666666664,23.459184413217212,0,0,0,0,427777.77777777775,16666.666666666664,90.0,90.50966799187809,154.0,26.0,180.0,90.0,90.50966799187809,154.0,26.0,0,0,0,0,0,1,0,0,0,96,0,16666.666666666664,0.0,0.0,46.0,30.75,21.68524844220144,470.25,0,1,0,0,1,0,0,0,0.0,41.0,25.666666666666668,0.0,0,0,0,0,0,0,3,77,0,0,237,-1,1,32,0,0,0,0,0,0,0,0,No Label
