Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
216.58.210.14-10.8.8.130-443-45185-6,10.8.8.130,45185,216.58.210.14,443,6,04/06/2015 03:52:12,127523,1,3,46.0,60.0,46.0,46.0,46.0,0.0,60.0,0.0,20.0,34.64101615137755,831.2226029814229,31.366890678544262,42507.66666666667,72035.74249866058,125681.0,29.0,0,0,0,0,0,1842.0,921.0,1261.4784976368007,1813.0,29.0,1,0,0,0,32,96,7.841722669636066,23.525168008908196,0.0,60.0,30.4,28.333725487482226,802.8,0,1,0,0,1,0,0,0,3.0,38.0,46.0,20.0,0,0,0,0,0,0,1,46,3,60,537,365,0,32,0,0,0,0,0,0,0,0,No Label
216.58.210.14-10.8.8.130-443-45185-6,10.8.8.130,45185,216.58.210.14,443,6,04/06/2015 03:52:12,169,3,0,77.0,0.0,46.0,0.0,25.666666666666664,23.459184413217212,0,0,0,0,455621.30177514796,17751.47928994083,84.5,89.80256121069154,148.0,21.0,169.0,84.5,89.80256121069154,148.0,21.0,0,0,0,0,0,1,0,0,0,96,0,17751.47928994083,0.0,0.0,46.0,30.75,21.68524844220144,470.25,0,1,0,0,1,0,0,0,0.0,41.0,25.666666666666668,0.0,0,0,0,0,0,0,3,77,0,0,537,-1,1,32,0,0,0,0,0,0,0,0,No Label
173.194.113.112-10.8.8.130-443-59507-6,10.8.8.130,59507,173.194.113.112,443,6,04/06/2015 03:52:14,140841,1,3,46.0,60.0,46.0,46.0,46.0,0.0,60.0,0.0,20.0,34.64101615137755,752.6217507685973,28.40082078372065,46947.0,81252.23631999307,140769.0,24.0,0,0,0,0,0,72.0,36.0,16.97056274847714,48.0,24.0,1,0,0,0,32,96,7.100205195930163,21.30061558779049,0.0,60.0,30.4,28.333725487482226,802.8,0,1,0,0,1,0,0,0,3.0,38.0,46.0,20.0,0,0,0,0,0,0,1,46,3,60,1210,404,0,32,0,0,0,0,0,0,0,0,No Label
173.194.113.112-10.8.8.130-443-59507-6,10.8.8.130,59507,173.194.113.112,443,6,04/06/2015 03:52:14,295,3,0,77.0,0.0,46.0,0.0,25.666666666666664,23.459184413217212,0,0,0,0,261016.94915254237,10169.491525423728,147.5,187.3832970144351,280.0,15.0,295.0,147.5,187.3832970144351,280.0,15.0,0,0,0,0,0,1,0,0,0,96,0,10169.491525423728,0.0,0.0,46.0,30.75,21.68524844220144,470.25,0,1,0,0,1,0,0,0,0.0,41.0,25.666666666666668,0.0,0,0,0,0,0,0,3,77,0,0,1210,-1,1,32,0,0,0,0,0,0,0,0,No Label
216.58.210.2-10.8.8.130-443-58124-6,10.8.8.130,58124,216.58.210.2,443,6,04/06/2015 03:52:15,128218,4,2,123.0,60.0,46.0,0.0,30.75,21.68524844220144,60.0,0.0,30.0,42.42640687119285,1427.256703426976,46.79530175170413,25643.600000000002,57110.5539747252,127806.0,17.0,128218.0,42739.33333333333,73892.48764477573,128063.0,17.0,71.0,71.0,0.0,71.0,71.0,1,0,0,0,128,64,31.19686783446942,15.59843391723471,0.0,60.0,32.714285714285715,23.865695643987177,569.5714285714286,0,1,0,0,1,0,0,0,0.0,38.166666666666664,30.75,30.0,0,0,0,0,0,0,4,123,2,60,335,358,2,32,0,0,0,0,0,0,0,0,No Label
216.58.210.1-10.8.8.130-443-60535-6,10.8.8.130,60535,216.58.210.1,443,6,04/06/2015 03:52:17,134506,2,2,46.0,60.0,46.0,0.0,23.0,32.526911934581186,60.0,0.0,30.0,42.42640687119285,788.0689337278635,29.73845032935334,44835.33333333333,77591.25743492841,134430.0,35.0,134465.0,134465.0,0.0,134465.0,134465.0,76.0,76.0,0.0,76.0,76.0,1,0,0,0,64,64,14.86922516467667,14.86922516467667,0.0,60.0,30.4,28.333725487482226,802.8,0,1,0,0,1,0,0,0,1.0,38.0,23.0,30.0,0,0,0,0,0,0,2,46,2,60,847,383,0,32,0,0,0,0,0,0,0,0,No Label
216.58.210.1-10.8.8.130-443-60535-6,10.8.8.130,60535,216.58.210.1,443,6,04/06/2015 03:52:17,614,3,0,77.0,0.0,46.0,0.0,25.666666666666664,23.459184413217212,0,0,0,0,125407.16612377852,4885.99348534202,307.0,263.0437226013957,493.0,121.0,614.0,307.0,263.0437226013957,493.0,121.0,0,0,0,0,0,1,0,0,0,96,0,4885.99348534202,0.0,0.0,46.0,30.75,21.68524844220144,470.25,0,1,0,0,1,0,0,0,0.0,41.0,25.666666666666668,0.0,0,0,0,0,0,0,3,77,0,0,847,-1,1,32,0,0,0,0,0,0,0,0,No Label
216.58.210.13-10.8.8.130-443-46983-6,10.8.8.130,46983,216.58.210.13,443,6,04/06/2015 03:52:19,124499,1,3,46.0,60.0,46.0,46.0,46.0,0.0,60.0,0.0,20.0,34.64101615137755,851.4124611442662,32.128772118651554,41499.66666666667,71811.98218496224,124421.0,27.0,0,0,0,0,0,78.0,39.0,16.97056274847714,51.0,27.0,1,0,0,0,32,96,8.032193029662889,24.096579088988666,0.0,60.0,30.4,28.333725487482226,802.8,0,1,0,0,1,0,0,0,3.0,38.0,46.0,20.0,0,0,0,0,0,0,1,46,3,60,1587,553,0,32,0,0,0,0,0,0,0,0,No Label
216.58.210.13-10.8.8.130-443-46983-6,10.8.8.130,46983,216.58.210.13,443,6,04/06/2015 03:52:19,152,3,0,77.0,0.0,46.0,0.0,25.666666666666664,23.459184413217212,0,0,0,0,506578.947368421,19736.842105263157,76.0,86.2670273047588,137.0,15.0,152.0,76.0,86.2670273047588,137.0,15.0,0,0,0,0,0,1,0,0,0,96,0,19736.842105263157,0.0,0.0,46.0,30.75,21.68524844220144,470.25,0,1,0,0,1,0,0,0,0.0,41.0,25.666666666666668,0.0,0,0,0,0,0,0,3,77,0,0,1587,-1,1,32,0,0,0,0,0,0,0,0,No Label
216.58.210.14-10.8.8.130-443-45198-6,10.8.8.130,45198,216.58.210.14,443,6,04/06/2015 03:52:17,4140451,13,10,601.0,4291.0,203.0,0.0,46.23076923076923,69.80347871722182,1308.0,0.0,429.1,607.2862129543569,1181.5138012743057,5.554950414821961,188202.31818181818,747720.7418371919,3529013.0,16.0,4140451.0,345037.5833333334,1045379.0187403068,3660337.0,85.0,468054.0,52006.00000000001,75490.6272211988,167968.0,31.0,0,0,0,0,424,328,3.1397545822906734,2.4151958325312872,0.0,1308.0,203.83333333333337,429.84017926450866,184762.57971014496,0,0,0,1,0,0,0,0,0.0,212.69565217391303,46.23076923076923,429.1,0,0,0,0,0,0,13,601,10,4291,29200,350,6,32,0,0,0,0,0,0,0,0,No Label
