Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
132.235.106.83-10.8.0.6-24829-47364-6,10.8.0.6,47364,132.235.106.83,24829,6,15/04/2015 01:55:42,1026339,11,6,109.0,127.0,59.0,0.0,9.909090909090912,18.560466295082918,62.0,0.0,21.166666666666668,26.850822457918614,229.94351768762564,16.563727969023883,64146.18750000001,123953.84277395021,470410.0,19.0,1026339.0,102633.9,148324.63187245736,470410.0,125.0,472411.0,94482.2,87456.66856906911,248002.0,45520.0,0,0,0,0,360,200,10.717706332897805,5.846021636126076,0.0,62.0,13.111111111111114,21.315249688451832,454.3398692810459,0,0,0,1,0,0,0,0,0.0,13.882352941176471,9.909090909090908,21.166666666666668,0,0,0,0,0,0,11,109,6,127,29200,255,4,32,0,0,0,0,0,0,0,0,No Label
132.235.106.83-10.8.0.6-24829-47364-6,132.235.106.83,24829,10.8.0.6,47364,6,15/04/2015 01:55:43,74,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,27027.027027027027,74.0,0.0,74.0,74.0,74.0,74.0,0.0,74.0,74.0,0,0,0,0,0,0,0,0,0,64,0,27027.027027027027,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,255,-1,0,32,0,0,0,0,0,0,0,0,No Label
10.8.0.6-82.242.167.105-56957-64603-6,10.8.0.6,56957,82.242.167.105,64603,6,15/04/2015 01:55:42,1405631,10,8,129.0,162.0,76.0,0.0,12.899999999999999,24.342235814412042,94.0,0.0,20.25,34.43731365000138,207.02446090047815,12.805636756730607,82684.17647058824,104300.35366385106,351557.0,27.0,1280979.0,142331.0,114592.81919038383,351608.0,279.0,1223996.0,174856.57142857142,96343.94110833184,351596.0,29128.0,0,0,0,0,328,264,7.114242642628115,5.691394114102492,0.0,94.0,15.315789473684216,28.010023268622465,784.5614035087718,0,0,0,1,0,0,0,0,0.0,16.166666666666668,12.9,20.25,0,0,0,0,0,0,10,129,8,162,29200,255,4,32,0,0,0,0,0,0,0,0,No Label
10.8.0.6-23.23.138.128-47313-443-6,10.8.0.6,47313,23.23.138.128,443,6,15/04/2015 01:55:54,20142572,2,3,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,1.5390288787350492,0.24823046431210471,5035643.0,7098900.657919554,1.5086963E7,43.0,1.5143135E7,1.5143135E7,0.0,1.5143135E7,1.5143135E7,2.0086443E7,1.00432215E7,7132927.634404018,1.5086963E7,4999480.0,0,0,0,0,64,96,0.09929218572484189,0.14893827858726283,0.0,31.0,5.166666666666667,12.655697004379753,160.16666666666666,0,0,0,0,1,0,0,0,1.0,6.2,0.0,10.333333333333334,0,0,0,0,0,0,2,0,3,31,427,65,0,32,56129.0,0.0,56129.0,56129.0,1.5086963E7,0.0,1.5086963E7,1.5086963E7,No Label
10.8.0.6-23.23.138.128-47315-443-6,10.8.0.6,47315,23.23.138.128,443,6,15/04/2015 01:55:54,20134655,2,3,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,1.5396340289913089,0.2483280691921466,5033663.75,7086845.975473921,1.5079434E7,36731.0,1.5172051E7,1.5172051E7,0.0,1.5172051E7,1.5172051E7,2.0078769E7,1.00393845E7,7127706.357931737,1.5079434E7,4999335.0,0,0,0,0,64,96,0.09933122767685863,0.14899684151528794,0.0,31.0,5.166666666666667,12.655697004379753,160.16666666666666,0,0,0,0,1,0,0,0,1.0,6.2,0.0,10.333333333333334,0,0,0,0,0,0,2,0,3,31,359,65,0,32,55886.0,0.0,55886.0,55886.0,1.5079434E7,0.0,1.5079434E7,1.5079434E7,No Label
10.8.0.6-23.23.138.128-47314-443-6,10.8.0.6,47314,23.23.138.128,443,6,15/04/2015 01:55:54,20142652,2,3,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,1.5390227662176759,0.2482294784222058,5035663.0,7099027.074285932,1.508716E7,25.0,1.5143189E7,1.5143189E7,0.0,1.5143189E7,1.5143189E7,2.0086648E7,1.0043324E7,7133061.277585662,1.508716E7,4999488.0,0,0,0,0,64,96,0.09929179136888232,0.14893768705332347,0.0,31.0,5.166666666666667,12.655697004379753,160.16666666666666,0,0,0,0,1,0,0,0,1.0,6.2,0.0,10.333333333333334,0,0,0,0,0,0,2,0,3,31,382,65,0,32,56004.0,0.0,56004.0,56004.0,1.508716E7,0.0,1.508716E7,1.508716E7,No Label
10.8.0.6-23.23.138.128-47317-443-6,10.8.0.6,47317,23.23.138.128,443,6,15/04/2015 01:55:54,20142677,2,3,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,1.539020856065954,0.24822917033321837,5035669.25,7098680.627237496,1.508647E7,59.0,1.5142583E7,1.5142583E7,0.0,1.5142583E7,1.5142583E7,2.0086623E7,1.00433115E7,7132103.147897154,1.508647E7,5000153.0,0,0,0,0,64,96,0.09929166813328735,0.14893750219993102,0.0,31.0,5.166666666666667,12.655697004379753,160.16666666666666,0,0,0,0,1,0,0,0,1.0,6.2,0.0,10.333333333333334,0,0,0,0,0,0,2,0,3,31,382,65,0,32,56054.0,0.0,56054.0,56054.0,1.508647E7,0.0,1.508647E7,1.508647E7,No Label
10.8.0.6-23.23.138.128-47318-443-6,10.8.0.6,47318,23.23.138.128,443,6,15/04/2015 01:55:54,20134847,2,3,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,1.5396193474924342,0.24832570120845715,5033711.75,7095044.366431093,1.5078916E7,16.0,1.5135338E7,1.5135338E7,0.0,1.5135338E7,1.5135338E7,2.0078441E7,1.00392205E7,7127205.726330657,1.5078916E7,4999525.0,0,0,0,0,64,96,0.09933028048338285,0.1489954207250743,0.0,31.0,5.166666666666667,12.655697004379753,160.16666666666666,0,0,0,0,1,0,0,0,1.0,6.2,0.0,10.333333333333334,0,0,0,0,0,0,2,0,3,31,406,65,0,32,56406.0,0.0,56406.0,56406.0,1.5078916E7,0.0,1.5078916E7,1.5078916E7,No Label
10.8.0.6-23.23.138.128-47316-443-6,10.8.0.6,47316,23.23.138.128,443,6,15/04/2015 01:55:54,20122901,2,3,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,1.540533345564837,0.24847312025239304,5030725.25,7089507.0210523745,1.5067073E7,17.0,1.5123274E7,1.5123274E7,0.0,1.5123274E7,1.5123274E7,2.0066717E7,1.00333585E7,7118747.3150141025,1.5067073E7,4999644.0,0,0,0,0,64,96,0.09938924810095721,0.14908387215143581,0.0,31.0,5.166666666666667,12.655697004379753,160.16666666666666,0,0,0,0,1,0,0,0,1.0,6.2,0.0,10.333333333333334,0,0,0,0,0,0,2,0,3,31,382,65,0,32,56184.0,0.0,56184.0,56184.0,1.5067073E7,0.0,1.5067073E7,1.5067073E7,No Label
10.8.0.6-91.190.218.125-58255-12350-6,10.8.0.6,58255,91.190.218.125,12350,6,15/04/2015 01:56:15,2220068,4,2,50.0,0.0,50.0,0.0,12.5,25.0,0.0,0.0,0.0,0.0,22.521832664585048,2.702619919750206,444013.6,851304.67042728,1962598.0,79.0,2220068.0,740022.6666666666,1171342.2126711446,2090578.0,1162.0,129221.0,129221.0,0.0,129221.0,129221.0,0,0,0,0,100,52,1.8017466131668038,0.9008733065834019,0.0,50.0,7.142857142857143,18.89822365046136,357.14285714285717,0,0,0,1,0,0,0,0,0.0,8.333333333333334,12.5,0.0,0,0,0,0,0,0,4,50,2,0,29200,928,1,20,0,0,0,0,0,0,0,0,No Label
