Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
208.117.240.241-10.8.8.138-443-53289-6,10.8.8.138,53289,208.117.240.241,443,6,25/05/2015 02:32:20,198482,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.076480486895537,198482.0,0.0,198482.0,198482.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,5.038240243447769,5.038240243447769,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,337,243,0,32,0,0,0,0,0,0,0,0,No Label
208.117.240.241-10.8.8.138-443-53292-6,208.117.240.241,443,10.8.8.138,53292,6,25/05/2015 02:32:18,2937274,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0213551749002647,1468637.0,2074651.2960013305,2935637.0,1637.0,0,0,0,0,0,2935637.0,2935637.0,0.0,2935637.0,2935637.0,0,0,0,0,32,64,0.3404517249667549,0.6809034499335098,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,227,229,0,32,0,0,0,0,0,0,0,0,No Label
208.117.251.116-10.8.8.138-443-56552-6,208.117.251.116,443,10.8.8.138,56552,6,25/05/2015 02:32:18,2896127,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0358661757581764,1448063.5,2047270.0001134437,2895702.0,425.0,0,0,0,0,0,2895702.0,2895702.0,0.0,2895702.0,2895702.0,0,0,0,0,32,64,0.34528872525272547,0.6905774505054509,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,227,229,0,32,0,0,0,0,0,0,0,0,No Label
10.8.8.138-74.125.226.33-58852-443-6,74.125.226.33,443,10.8.8.138,58852,6,25/05/2015 02:32:18,2915379,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0290257287302953,1457689.5,2056318.1384855069,2911726.0,3653.0,0,0,0,0,0,2911726.0,2911726.0,0.0,2911726.0,2911726.0,0,0,0,0,32,64,0.3430085762434318,0.6860171524868636,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,333,229,0,32,0,0,0,0,0,0,0,0,No Label
10.8.8.138-54.164.255.216-33719-443-6,54.164.255.216,443,10.8.8.138,33719,6,25/05/2015 02:32:29,4999437,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.200698198617164,0.6000675676081126,2499718.5,3535060.8514961237,4999384.0,53.0,4999437.0,4999437.0,0.0,4999437.0,4999437.0,0,0,0,0,0,1,0,0,0,64,32,0.4000450450720751,0.20002252253603756,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,0,0,0,0,0,0,2,31,1,0,84,378,0,32,0,0,0,0,0,0,0,0,No Label
208.117.251.116-10.8.8.138-443-56549-6,208.117.251.116,443,10.8.8.138,56549,6,25/05/2015 02:32:40,141146,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.254587448457627,70573.0,44001.84077967648,101687.0,39459.0,0,0,0,0,0,101687.0,101687.0,0.0,101687.0,101687.0,0,0,0,0,32,64,7.084862482819209,14.169724965638418,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,305,3455,0,32,0,0,0,0,0,0,0,0,No Label
10.8.8.138-54.164.255.216-33719-443-6,10.8.8.138,33719,54.164.255.216,443,6,25/05/2015 02:32:34,6306791,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.3171184838692134,6306791.0,0.0,6306791.0,6306791.0,6306791.0,6306791.0,0.0,6306791.0,6306791.0,0,0,0,0,0,0,0,0,0,64,0,0.3171184838692134,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,378,-1,0,32,0,0,0,0,0,0,0,0,No Label
10.8.8.138-54.235.151.171-54541-443-6,10.8.8.138,54541,54.235.151.171,443,6,25/05/2015 02:32:39,20215478,2,3,0.0,37.0,0.0,0.0,0.0,0.0,37.0,0.0,12.333333333333332,21.361959960016154,1.830280738353058,0.2473352349125754,5053869.5,7015832.14302611,1.4990196E7,28.0,1.5207598E7,1.5207598E7,0.0,1.5207598E7,1.5207598E7,1.9998104E7,9999052.0,7058543.536557099,1.4990196E7,5007908.0,0,0,0,0,64,96,0.09893409396503015,0.14840114094754522,0.0,37.0,6.166666666666667,15.105186747162932,228.16666666666669,0,0,0,0,1,0,0,0,1.0,7.4,0.0,12.333333333333334,0,0,0,0,0,0,2,0,3,37,237,136,0,32,217374.0,0.0,217374.0,217374.0,1.4990196E7,0.0,1.4990196E7,1.4990196E7,No Label
10.8.8.138-54.235.151.171-54541-443-6,10.8.8.138,54541,54.235.151.171,443,6,25/05/2015 02:32:59,1077022,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.856972280974762,1077022.0,0.0,1077022.0,1077022.0,1077022.0,1077022.0,0.0,1077022.0,1077022.0,0,0,0,0,0,0,0,0,0,64,0,1.856972280974762,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,237,-1,0,32,0,0,0,0,0,0,0,0,No Label
10.8.8.138-96.16.196.150-58049-443-6,10.8.8.138,58049,96.16.196.150,443,6,25/05/2015 02:32:38,47020632,2,4,0.0,53.0,0.0,0.0,0.0,0.0,53.0,0.0,13.25,26.5,1.1271647731149168,0.12760355922055663,9404126.4,1.990878845940426E7,4.499914E7,18.0,4.5199973E7,4.5199973E7,0.0,4.5199973E7,4.5199973E7,4.6819799E7,1.5606599666666668E7,2.5641301349979766E7,4.5199849E7,18.0,0,0,0,0,64,128,0.042534519740185545,0.08506903948037109,0.0,53.0,7.571428571428572,20.032117069489043,401.2857142857143,0,0,0,0,1,0,0,0,2.0,8.833333333333334,0.0,13.25,0,0,0,0,0,0,2,0,4,53,323,567,0,32,200833.0,0.0,200833.0,200833.0,4.499914E7,0.0,4.499914E7,4.499914E7,No Label
