Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
157.240.15.17-10.211.55.42-443-49276-6,10.211.55.42,49276,157.240.15.17,443,6,07/05/2018 09:55:31,82215,8,12,522.0,3607.0,202.0,0.0,65.25,92.77892309909925,1398.0,0.0,300.5833333333333,526.6282902205369,50221.97895761114,243.26461108070305,4327.105263157896,7619.120435491641,23253.0,3.0,60593.0,8656.142857142857,10099.138056101148,23330.0,11.0,60267.0,5478.818181818182,7694.89633222153,23253.0,10.0,0,0,0,0,180,248,97.30584443228122,145.95876664842183,0.0,1398.0,196.61904761904756,413.363698961396,170869.5476190476,0,0,0,1,0,0,0,0,1.0,206.45,65.25,300.5833333333333,0,0,0,0,0,0,8,522,12,3607,29200,16384,3,20,0,0,0,0,0,0,0,0,No Label
157.240.15.17-10.211.55.42-443-49276-6,10.211.55.42,49276,157.240.15.17,443,6,07/05/2018 09:55:31,214,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,9345.794392523365,214.0,0.0,214.0,214.0,214.0,214.0,0.0,214.0,214.0,0,0,0,0,0,0,0,0,0,40,0,9345.794392523365,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,318,-1,0,20,0,0,0,0,0,0,0,0,No Label
157.240.15.17-10.211.55.42-443-49272-6,10.211.55.42,49272,157.240.15.17,443,6,07/05/2018 09:55:31,87595,11,9,553.0,3521.0,202.0,0.0,50.272727272727266,82.14388706299563,1398.0,0.0,391.2222222222222,586.6680871194925,46509.50396712141,228.32353444831324,4610.263157894737,8505.115087353188,26248.0,4.0,87595.0,8759.499999999998,10326.502906491516,26335.0,10.0,62991.0,7873.875,9441.285466919066,26248.0,17.0,0,0,0,0,240,188,125.57794394657229,102.74559050174096,0.0,1398.0,193.99999999999994,414.47858810799863,171792.49999999997,0,0,0,1,0,0,0,0,0.0,203.7,50.27272727272727,391.22222222222223,0,0,0,0,0,0,11,553,9,3521,29200,16384,4,20,0,0,0,0,0,0,0,0,No Label
157.240.15.17-10.211.55.42-443-49278-6,10.211.55.42,49278,157.240.15.17,443,6,07/05/2018 09:55:31,85976,10,8,553.0,3439.0,202.0,0.0,55.3,84.78476016098385,1398.0,0.0,429.87500000000006,614.7307046876009,46431.562296454824,209.36075183772218,5057.411764705882,8724.878022491372,25478.0,2.0,85976.0,9552.888888888889,10334.530824430836,25589.0,9.0,61443.0,8777.57142857143,9450.082818987054,25478.0,16.0,0,0,0,0,220,168,116.31152879873453,93.04922303898763,0.0,1398.0,210.10526315789474,433.3419094967804,187785.2105263158,0,0,0,1,0,0,0,0,0.0,221.77777777777777,55.3,429.875,0,0,0,0,0,0,10,553,8,3439,29200,16384,4,20,0,0,0,0,0,0,0,0,No Label
157.240.15.17-10.211.55.42-443-49280-6,10.211.55.42,49280,157.240.15.17,443,6,07/05/2018 09:55:31,90231,11,9,553.0,3520.0,202.0,0.0,50.272727272727266,82.14388706299563,1398.0,0.0,391.11111111111114,586.6692945016904,45139.69699992242,221.65331205461536,4749.000000000001,8990.132182936282,25333.0,4.0,90231.0,9023.1,11148.773888240406,25440.0,10.0,65524.0,8190.5,10465.916341015862,25333.0,18.0,0,0,0,0,240,188,121.90932163003845,99.74399042457691,0.0,1398.0,193.95238095238096,414.4554832778155,171773.34761904762,0,0,0,1,0,0,0,0,0.0,203.65,50.27272727272727,391.1111111111111,0,0,0,0,0,0,11,553,9,3520,29200,16384,4,20,0,0,0,0,0,0,0,0,No Label
157.240.15.17-10.211.55.42-443-49272-6,157.240.15.17,443,10.211.55.42,49272,6,07/05/2018 09:55:31,12863,3,0,86.0,0.0,86.0,0.0,28.666666666666668,49.652123150307816,0,0,0,0,6685.843115913862,233.22708543885565,6431.5,9017.73278047204,12808.0,55.0,12863.0,6431.5,9017.73278047204,12808.0,55.0,0,0,0,0,0,0,0,0,0,60,0,233.22708543885565,0.0,0.0,86.0,21.5,43.0,1849.0,0,0,0,0,1,0,0,0,0.0,28.666666666666668,28.666666666666668,0.0,0,0,0,0,0,0,3,86,0,0,16384,-1,1,20,0,0,0,0,0,0,0,0,No Label
157.240.15.17-10.211.55.42-443-49280-6,157.240.15.17,443,10.211.55.42,49280,6,07/05/2018 09:55:31,3319,4,1,86.0,0.0,86.0,0.0,21.5,43.0,0.0,0.0,0.0,0.0,25911.4191021392,1506.4778547755348,829.75,1619.5080271489858,3259.0,13.0,3319.0,1106.3333333333335,1864.3415280825916,3259.0,13.0,0,0,0,0,0,0,0,0,0,80,20,1205.182283820428,301.295570955107,0.0,86.0,14.333333333333332,35.10935297989222,1232.6666666666667,0,0,0,0,1,0,0,0,0.0,17.2,21.5,0.0,0,0,0,0,0,0,4,86,1,0,16384,0,1,20,0,0,0,0,0,0,0,0,No Label
157.240.15.17-10.211.55.42-443-49282-6,10.211.55.42,49282,157.240.15.17,443,6,07/05/2018 09:55:31,95576,10,8,553.0,3440.0,202.0,0.0,55.3,84.78476016098385,1398.0,0.0,429.99999999999994,614.7203777793143,41778.270695572115,188.3317987779359,5622.1176470588225,9670.11713917128,25970.0,5.0,95576.0,10619.555555555555,11476.34058739012,26075.0,11.0,70659.0,10094.142857142857,11021.949879347898,25970.0,17.0,0,0,0,0,220,168,104.62877709885328,83.70302167908262,0.0,1398.0,210.15789473684205,433.3643915995322,187804.69590643272,0,0,0,1,0,0,0,0,0.0,221.83333333333334,55.3,430.0,0,0,0,0,0,0,10,553,8,3440,29200,16384,4,20,0,0,0,0,0,0,0,0,No Label
10.211.55.42-52.89.83.46-52192-443-6,10.211.55.42,52192,52.89.83.46,443,6,07/05/2018 09:55:33,9545831,3,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,3.247490972760779,0.5237888665743192,2386457.75,4772646.167394797,9545427.0,30.0,9545831.0,4772915.5,6749590.906187166,9545597.0,234.0,9545427.0,9545427.0,0.0,9545427.0,9545427.0,0,0,0,0,60,40,0.3142733199445915,0.20951554662972768,0.0,31.0,5.166666666666667,12.655697004379753,160.16666666666666,0,0,0,0,1,0,0,0,0.0,6.2,0.0,15.5,0,0,0,0,0,0,3,0,2,31,245,16384,0,20,140.0,0.0,140.0,140.0,9545427.0,0.0,9545427.0,9545427.0,No Label
10.211.55.42-52.89.83.46-52184-443-6,10.211.55.42,52184,52.89.83.46,443,6,07/05/2018 09:55:33,9297518,3,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,3.334223176550989,0.5377779317017725,2324379.5,4648241.670876168,9296742.0,74.0,9297518.0,4648759.0,6574099.0239119455,9297349.0,169.0,9296742.0,9296742.0,0.0,9296742.0,9296742.0,0,0,0,0,60,40,0.32266675902106345,0.21511117268070898,0.0,31.0,5.166666666666667,12.655697004379753,160.16666666666666,0,0,0,0,1,0,0,0,0.0,6.2,0.0,15.5,0,0,0,0,0,0,3,0,2,31,365,16384,0,20,533.0,0.0,533.0,533.0,9296742.0,0.0,9296742.0,9296742.0,No Label
