Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.211.55.42-62.210.138.3-38178-9001-6,62.210.138.3,9001,10.211.55.42,38178,6,07/05/2018 06:19:27,560031,2,2,543.0,543.0,543.0,0.0,271.5,383.9589821842953,543.0,0.0,271.5,383.9589821842953,1939.1783669118317,7.142461756581333,186677.0,322994.61033738626,559639.0,28.0,560031.0,560031.0,0.0,560031.0,560031.0,559639.0,559639.0,0.0,559639.0,559639.0,1,0,0,0,40,40,3.5712308782906663,3.5712308782906663,0.0,543.0,325.8,297.41334872530524,88454.70000000001,0,1,0,0,1,0,0,0,1.0,407.25,271.5,271.5,0,0,0,0,0,0,2,543,2,543,16384,24569,0,20,0,0,0,0,0,0,0,0,No Label
10.211.55.42-62.210.138.3-38178-9001-6,62.210.138.3,9001,10.211.55.42,38178,6,07/05/2018 06:24:27,558708,2,2,543.0,543.0,543.0,0.0,271.5,383.9589821842953,543.0,0.0,271.5,383.9589821842953,1943.7702699800254,7.159374843388676,186236.0,322337.2652409274,558439.0,47.0,558708.0,558708.0,0.0,558708.0,558708.0,558439.0,558439.0,0.0,558439.0,558439.0,1,0,0,0,40,40,3.579687421694338,3.579687421694338,0.0,543.0,325.8,297.41334872530524,88454.70000000001,0,1,0,0,1,0,0,0,1.0,407.25,271.5,271.5,0,0,0,0,0,0,2,543,2,543,16384,24569,0,20,0,0,0,0,0,0,0,0,No Label
10.211.55.42-62.210.138.3-38178-9001-6,62.210.138.3,9001,10.211.55.42,38178,6,07/05/2018 06:29:27,479014,2,2,543.0,543.0,543.0,0.0,271.5,383.9589821842953,543.0,0.0,271.5,383.9589821842953,2267.1571185810853,8.350486624608049,159671.3333333333,276331.9823859217,478752.0,28.0,479014.0,479014.0,0.0,479014.0,479014.0,478752.0,478752.0,0.0,478752.0,478752.0,1,0,0,0,40,40,4.1752433123040245,4.1752433123040245,0.0,543.0,325.8,297.41334872530524,88454.70000000001,0,1,0,0,1,0,0,0,1.0,407.25,271.5,271.5,0,0,0,0,0,0,2,543,2,543,16384,24569,0,20,0,0,0,0,0,0,0,0,No Label
10.211.55.1-10.211.55.42-67-68-17,10.211.55.42,68,10.211.55.1,67,17,07/05/2018 06:23:19,15082,1,1,300.0,301.0,300.0,300.0,300.0,0.0,301.0,301.0,301.0,0.0,39848.82641559475,132.60840737302746,15082.0,0.0,15082.0,15082.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,66.30420368651373,66.30420368651373,300.0,301.0,300.3333333333333,0.5773502691896257,0.3333333333333333,0,0,0,0,0,0,0,0,1.0,450.5,300.0,301.0,0,0,0,0,0,0,1,300,1,301,-1,-1,0,8,0,0,0,0,0,0,0,0,No Label
10.211.55.42-62.210.138.3-38178-9001-6,62.210.138.3,9001,10.211.55.42,38178,6,07/05/2018 06:34:27,435315,2,2,543.0,543.0,543.0,0.0,271.5,383.9589821842953,543.0,0.0,271.5,383.9589821842953,2494.7451845215533,9.188748377611615,145105.0,251077.24120477348,435024.0,40.0,435315.0,435315.0,0.0,435315.0,435315.0,435024.0,435024.0,0.0,435024.0,435024.0,1,0,0,0,40,40,4.594374188805808,4.594374188805808,0.0,543.0,325.8,297.41334872530524,88454.70000000001,0,1,0,0,1,0,0,0,1.0,407.25,271.5,271.5,0,0,0,0,0,0,2,543,2,543,16384,24569,0,20,0,0,0,0,0,0,0,0,No Label
10.211.55.42-62.210.138.3-38178-9001-6,62.210.138.3,9001,10.211.55.42,38178,6,07/05/2018 06:38:11,76478287,2,2,543.0,543.0,543.0,0.0,271.5,383.9589821842953,543.0,0.0,271.5,383.9589821842953,14.20010884919533,0.05230242670053528,2.5492762333333336E7,4.415457858733822E7,7.6478078E7,48.0,7.6478287E7,7.6478287E7,0.0,7.6478287E7,7.6478287E7,7.6478078E7,7.6478078E7,0.0,7.6478078E7,7.6478078E7,1,0,0,0,40,40,0.02615121335026764,0.02615121335026764,0.0,543.0,325.8,297.41334872530524,88454.70000000001,0,1,0,0,1,0,0,0,1.0,407.25,271.5,271.5,0,0,0,0,0,0,2,543,2,543,16384,24569,0,20,48.0,0.0,48.0,48.0,7.6478078E7,0.0,7.6478078E7,7.6478078E7,No Label
10.211.55.42-62.210.138.3-38178-9001-6,62.210.138.3,9001,10.211.55.42,38178,6,07/05/2018 06:43:11,76474275,2,2,543.0,543.0,543.0,0.0,271.5,383.9589821842953,543.0,0.0,271.5,383.9589821842953,14.200853816528499,0.05230517059494843,2.5491425E7,4.415213322049512E7,7.6473917E7,28.0,7.6474275E7,7.6474275E7,0.0,7.6474275E7,7.6474275E7,7.6473917E7,7.6473917E7,0.0,7.6473917E7,7.6473917E7,1,0,0,0,40,40,0.026152585297474214,0.026152585297474214,0.0,543.0,325.8,297.41334872530524,88454.70000000001,0,1,0,0,1,0,0,0,1.0,407.25,271.5,271.5,0,0,0,0,0,0,2,543,2,543,16384,24569,0,20,28.0,0.0,28.0,28.0,7.6473917E7,0.0,7.6473917E7,7.6473917E7,No Label
10.211.55.1-10.211.55.42-67-68-17,10.211.55.42,68,10.211.55.1,67,17,07/05/2018 06:36:58,15391,1,1,300.0,301.0,300.0,300.0,300.0,0.0,301.0,301.0,301.0,0.0,39048.79475017868,129.94607237996232,15391.0,0.0,15391.0,15391.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,64.97303618998116,64.97303618998116,300.0,301.0,300.3333333333333,0.5773502691896257,0.3333333333333333,0,0,0,0,0,0,0,0,1.0,450.5,300.0,301.0,0,0,0,0,0,0,1,300,1,301,-1,-1,0,8,0,0,0,0,0,0,0,0,No Label
10.211.55.42-62.210.138.3-38178-9001-6,62.210.138.3,9001,10.211.55.42,38178,6,07/05/2018 06:48:11,76588533,2,2,543.0,543.0,543.0,0.0,271.5,383.9589821842953,543.0,0.0,271.5,383.9589821842953,14.17966838456091,0.05222713953797757,2.5529511E7,4.4218062002376236E7,7.6588131E7,68.0,7.6588533E7,7.6588533E7,0.0,7.6588533E7,7.6588533E7,7.6588131E7,7.6588131E7,0.0,7.6588131E7,7.6588131E7,1,0,0,0,40,40,0.026113569768988786,0.026113569768988786,0.0,543.0,325.8,297.41334872530524,88454.70000000001,0,1,0,0,1,0,0,0,1.0,407.25,271.5,271.5,0,0,0,0,0,0,2,543,2,543,16384,24569,0,20,68.0,0.0,68.0,68.0,7.6588131E7,0.0,7.6588131E7,7.6588131E7,No Label
10.211.55.42-62.210.138.3-38178-9001-6,62.210.138.3,9001,10.211.55.42,38178,6,07/05/2018 06:53:10,64050733,2,2,543.0,543.0,543.0,0.0,271.5,383.9589821842953,543.0,0.0,271.5,383.9589821842953,16.955309473195257,0.062450495297220104,2.1350244333333336E7,3.697951308369612E7,6.4050508E7,41.0,6.4050733E7,6.4050733E7,0.0,6.4050733E7,6.4050733E7,6.4050508E7,6.4050508E7,0.0,6.4050508E7,6.4050508E7,1,0,0,0,40,40,0.031225247648610052,0.031225247648610052,0.0,543.0,325.8,297.41334872530524,88454.70000000001,0,1,0,0,1,0,0,0,1.0,407.25,271.5,271.5,0,0,0,0,0,0,2,543,2,543,16384,24569,0,20,41.0,0.0,41.0,41.0,6.4050508E7,0.0,6.4050508E7,6.4050508E7,No Label
10.211.55.42-62.210.138.3-38178-9001-6,62.210.138.3,9001,10.211.55.42,38178,6,07/05/2018 06:55:16,92998910,5,3,543.0,1629.0,543.0,0.0,108.6,242.83698235647717,543.0,543.0,543.0,0.0,23.355112441640447,0.08602251359720238,1.328555857142857E7,1.6569609001610518E7,3.1000434E7,275.0,9.299891E7,2.32497275E7,1.5499635046192722E7,3.1000754E7,275.0,6.1997842E7,3.0998921E7,1493.4095218659884,3.0999977E7,3.0997865E7,1,0,0,0,100,60,0.053764070998251486,0.032258442598950894,0.0,543.0,301.6666666666667,286.18612824523836,81902.50000000001,0,1,0,0,1,0,0,0,0.0,339.375,108.6,543.0,0,0,0,0,0,0,5,543,3,1629,24569,24569,0,20,301.3333333333333,23.459184413217212,320.0,275.0,3.0999215666666668E7,1488.8929892149179,3.1000434E7,3.0997556E7,No Label
10.211.55.42-62.210.138.3-38178-9001-6,62.210.138.3,9001,10.211.55.42,38178,6,07/05/2018 06:58:10,111105081,1,2,543.0,0.0,543.0,543.0,543.0,0.0,0.0,0.0,0.0,0.0,4.887265236771665,0.027001465396528535,5.55525405E7,7.856308831712964E7,1.11105033E8,48.0,0,0,0,0,0,1.11105033E8,1.11105033E8,0.0,1.11105033E8,1.11105033E8,1,0,0,0,20,40,0.009000488465509512,0.018000976931019024,0.0,543.0,271.5,313.5011961699668,98283.0,0,1,0,0,1,0,0,0,2.0,362.0,543.0,0.0,0,0,0,0,0,0,1,543,2,0,16384,24569,0,20,0,0,0,0,0,0,0,0,No Label
