Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
157.240.15.17-10.211.55.42-443-49274-6,10.211.55.42,49274,157.240.15.17,443,6,07/05/2018 10:07:48,564,3,1,77.0,0.0,46.0,0.0,25.666666666666664,23.459184413217212,0.0,0.0,0.0,0.0,136524.82269503546,7092.198581560283,188.0,157.52142711390093,344.0,29.0,564.0,282.0,357.79603128039304,535.0,29.0,0,0,0,0,0,1,0,0,0,60,20,5319.148936170212,1773.0496453900707,0.0,46.0,24.6,23.276597689524987,541.8,0,1,0,0,1,0,0,0,0.0,30.75,25.666666666666668,0.0,0,0,0,0,0,0,3,77,1,0,18221,16384,1,20,0,0,0,0,0,0,0,0,No Label
157.240.15.17-10.211.55.42-443-49274-6,157.240.15.17,443,10.211.55.42,49274,6,07/05/2018 10:07:48,24107,4,1,77.0,0.0,77.0,0.0,19.25,38.5,0.0,0.0,0.0,0.0,3194.0930020326045,207.40863649562368,6026.75,11968.861359795257,23980.0,13.0,24107.0,8035.666666666666,13808.290058270552,23980.0,13.0,0,0,0,0,0,0,0,0,0,80,20,165.92690919649894,41.481727299124735,0.0,77.0,12.833333333333334,31.43511836571745,988.1666666666666,0,0,0,0,1,0,0,0,0.0,15.4,19.25,0.0,0,0,0,0,0,0,4,77,1,0,16384,0,1,20,0,0,0,0,0,0,0,0,No Label
10.211.55.42-31.13.87.5-39320-443-6,10.211.55.42,39320,31.13.87.5,443,6,07/05/2018 10:07:57,1117,3,1,77.0,0.0,46.0,0.0,25.666666666666664,23.459184413217212,0.0,0.0,0.0,0.0,68934.64637421665,3581.020590868398,372.33333333333337,389.56942042893115,793.0,24.0,1117.0,558.5,755.8971490884193,1093.0,24.0,0,0,0,0,0,1,0,0,0,60,20,2685.7654431512983,895.2551477170995,0.0,46.0,24.6,23.276597689524987,541.8,0,1,0,0,1,0,0,0,0.0,30.75,25.666666666666668,0.0,0,0,0,0,0,0,3,77,1,0,16702,16384,1,20,0,0,0,0,0,0,0,0,No Label
10.211.55.42-31.13.87.5-39320-443-6,31.13.87.5,443,10.211.55.42,39320,6,07/05/2018 10:07:57,4913,4,1,77.0,0.0,77.0,0.0,19.25,38.5,0.0,0.0,0.0,0.0,15672.705068186444,1017.7081213108081,1228.25,2345.2096388169653,4746.0,36.0,4913.0,1637.6666666666665,2691.9346822189677,4746.0,69.0,0,0,0,0,0,0,0,0,0,80,20,814.1664970486464,203.5416242621616,0.0,77.0,12.833333333333334,31.43511836571745,988.1666666666666,0,0,0,0,1,0,0,0,0.0,15.4,19.25,0.0,0,0,0,0,0,0,4,77,1,0,16384,0,1,20,0,0,0,0,0,0,0,0,No Label
10.211.55.42-31.13.87.37-38382-443-6,10.211.55.42,38382,31.13.87.37,443,6,07/05/2018 10:07:40,54028822,5,3,123.0,46.0,46.0,0.0,24.6,23.276597689524987,46.0,0.0,15.333333333333332,26.558112382722786,3.127960109883573,0.14806911762762476,7718403.142857144,2.0417865287388805E7,5.4021769E7,10.0,5.4028822E7,1.3507205499999998E7,2.700970917712454E7,5.4021769E7,65.0,5.4028345E7,2.70141725E7,3.819476947269561E7,5.4021953E7,6392.0,1,0,0,0,100,60,0.09254319851726547,0.055525919110359284,0.0,46.0,23.88888888888889,23.154073315749674,536.1111111111111,0,1,0,0,1,0,0,0,0.0,26.875,24.6,15.333333333333334,0,0,0,0,0,0,5,123,3,46,639,16384,2,20,6724.0,0.0,6724.0,6724.0,5.4021769E7,0.0,5.4021769E7,5.4021769E7,No Label
10.211.55.42-31.13.87.37-38382-443-6,31.13.87.37,443,10.211.55.42,38382,6,07/05/2018 10:08:34,7113,4,1,77.0,0.0,77.0,0.0,19.25,38.5,0.0,0.0,0.0,0.0,10825.249543090116,702.9382820188387,1778.25,3453.225002322708,6958.0,36.0,7113.0,2371.0,3972.4593138256305,6958.0,75.0,0,0,0,0,0,0,0,0,0,80,20,562.350625615071,140.58765640376774,0.0,77.0,12.833333333333334,31.43511836571745,988.1666666666666,0,0,0,0,1,0,0,0,0.0,15.4,19.25,0.0,0,0,0,0,0,0,4,77,1,0,16384,0,1,20,0,0,0,0,0,0,0,0,No Label
10.211.55.42-117.18.237.29-46114-80-6,10.211.55.42,46114,117.18.237.29,80,6,07/05/2018 10:07:19,84957554,10,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22364109023195278,4719864.11111111,5128194.732371134,1.024088E7,95.0,8.4957554E7,9439728.222222222,2400765.5201532478,1.0241023E7,3037687.0,8.191989E7,1.023998625E7,607.2381857931501,1.0241023E7,1.0239083E7,0,0,0,0,200,180,0.11770583696418567,0.1059352532677671,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,10,0,9,0,278,16384,0,20,147.25,40.131035371642234,231.0,95.0,1.0239836125E7,594.280943061192,1.024088E7,1.0238988E7,No Label
216.58.200.238-10.211.55.42-80-39108-6,10.211.55.42,39108,216.58.200.238,80,6,07/05/2018 10:07:19,85213995,10,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22296806997489088,4734110.833333334,5123914.471612893,1.0243671E7,99.0,8.5213995E7,9468221.666666666,2316940.802567148,1.0243879E7,3289714.0,8.1924328E7,1.0240541E7,1498.363011518062,1.0243871E7,1.0238827E7,0,0,0,0,200,180,0.11735161577625836,0.10561645419863251,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,10,0,9,0,240,16384,0,20,187.74999999999997,89.3144525178956,388.0,99.0,1.0240347375E7,1498.6110652868006,1.0243671E7,1.0238686E7,No Label
10.211.55.42-31.13.87.5-39332-443-6,10.211.55.42,39332,31.13.87.5,443,6,07/05/2018 10:07:50,54028003,5,3,123.0,46.0,46.0,0.0,24.6,23.276597689524987,46.0,0.0,15.333333333333332,26.558112382722786,3.1280075260231257,0.1480713621786095,7718286.142857144,2.0415927873621203E7,5.4017258E7,26.0,5.4028003E7,1.3507000749999998E7,2.7006838515269317E7,5.4017258E7,26.0,5.4027038E7,2.7013519E7,3.8189468293157056E7,5.4017551E7,9487.0,1,0,0,0,100,60,0.09254460136163094,0.05552676081697856,0.0,46.0,23.88888888888889,23.154073315749674,536.1111111111111,0,1,0,0,1,0,0,0,0.0,26.875,24.6,15.333333333333334,0,0,0,0,0,0,5,123,3,46,1799,16384,2,20,9691.0,0.0,9691.0,9691.0,5.4017258E7,0.0,5.4017258E7,5.4017258E7,No Label
216.58.200.238-10.211.55.42-80-39108-6,216.58.200.238,80,10.211.55.42,39108,6,07/05/2018 10:08:44,3814,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,524.3838489774515,3814.0,0.0,3814.0,3814.0,3814.0,3814.0,0.0,3814.0,3814.0,0,0,0,0,0,0,0,0,0,40,0,524.3838489774515,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,16384,-1,0,20,0,0,0,0,0,0,0,0,No Label
10.211.55.42-31.13.87.5-39332-443-6,31.13.87.5,443,10.211.55.42,39332,6,07/05/2018 10:08:44,4675,4,1,77.0,0.0,77.0,0.0,19.25,38.5,0.0,0.0,0.0,0.0,16470.588235294115,1069.51871657754,1168.75,2275.586279767627,4582.0,11.0,4675.0,1558.3333333333335,2618.812771721822,4582.0,11.0,0,0,0,0,0,0,0,0,0,80,20,855.614973262032,213.903743315508,0.0,77.0,12.833333333333334,31.43511836571745,988.1666666666666,0,0,0,0,1,0,0,0,0.0,15.4,19.25,0.0,0,0,0,0,0,0,4,77,1,0,16384,0,1,20,0,0,0,0,0,0,0,0,No Label
10.211.55.42-117.18.237.29-46114-80-6,117.18.237.29,80,10.211.55.42,46114,6,07/05/2018 10:08:44,7828,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,255.49310168625448,7828.0,0.0,7828.0,7828.0,7828.0,7828.0,0.0,7828.0,7828.0,0,0,0,0,0,0,0,0,0,40,0,255.49310168625448,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,16384,-1,0,20,0,0,0,0,0,0,0,0,No Label
157.240.15.22-10.211.55.42-443-55106-6,10.211.55.42,55106,157.240.15.22,443,6,07/05/2018 10:08:07,53024009,5,3,123.0,46.0,46.0,0.0,24.6,23.276597689524987,46.0,0.0,15.333333333333332,26.558112382722786,3.1872354276343007,0.15087504982884262,7574858.428571429,2.0028991319056723E7,5.2996336E7,22.0,5.3024009E7,1.325600225E7,2.6493558699545797E7,5.2996336E7,98.0,5.3022824E7,2.6511412E7,3.745562580457384E7,5.2996539E7,26285.0,1,0,0,0,100,60,0.09429690614302665,0.056578143685815985,0.0,46.0,23.88888888888889,23.154073315749674,536.1111111111111,0,1,0,0,1,0,0,0,0.0,26.875,24.6,15.333333333333334,0,0,0,0,0,0,5,123,3,46,18011,16384,2,20,26646.0,0.0,26646.0,26646.0,5.2996336E7,0.0,5.2996336E7,5.2996336E7,No Label
10.211.55.42-31.13.87.36-36194-443-6,10.211.55.42,36194,31.13.87.36,443,6,07/05/2018 10:08:07,53025048,5,3,123.0,46.0,46.0,0.0,24.6,23.276597689524987,46.0,0.0,15.333333333333332,26.558112382722786,3.1871729753078206,0.15087209350569566,7575006.857142857,2.003790419445077E7,5.3016702E7,21.0,5.3025048E7,1.3256262E7,2.650696013100925E7,5.3016702E7,33.0,5.3023023E7,2.65115115E7,3.748452738004128E7,5.3017075E7,5948.0,1,0,0,0,100,60,0.09429505844105979,0.05657703506463587,0.0,46.0,23.88888888888889,23.154073315749674,536.1111111111111,0,1,0,0,1,0,0,0,0.0,26.875,24.6,15.333333333333334,0,0,0,0,0,0,5,123,3,46,4603,16384,2,20,6336.0,0.0,6336.0,6336.0,5.3016702E7,0.0,5.3016702E7,5.3016702E7,No Label
10.211.55.42-104.244.42.1-57304-443-6,10.211.55.42,57304,104.244.42.1,443,6,07/05/2018 10:07:15,112095144,109,114,18971.0,70465.0,7300.0,0.0,174.04587155963299,733.3697640612679,1460.0,0.0,618.1140350877192,631.9526945269379,797.857933970806,1.989381449030477,504933.08108108124,1997246.2055498057,9814882.0,2.0,1.12095144E8,1037917.9999999997,2771392.4241072307,9814882.0,6.0,1.12094934E8,991990.5663716813,2717363.370689486,9815090.0,2.0,1,0,0,0,2180,2280,0.9723882419027893,1.016993207127688,0.0,7300.0,400.2678571428574,715.7213299191363,512257.0221012171,0,1,0,0,1,0,0,0,1.0,402.0627802690583,174.045871559633,618.1140350877193,0,0,0,0,0,0,109,18971,114,70465,5305,16384,36,20,1051719.5454545454,1490730.9742695605,4315723.0,204283.0,9113767.454545455,1176544.7612543572,9814882.0,5893531.0,No Label
10.211.55.42-31.13.87.1-50234-443-6,10.211.55.42,50234,31.13.87.1,443,6,07/05/2018 10:07:40,112034409,7,5,169.0,92.0,46.0,0.0,24.142857142857146,23.197906309468042,46.0,0.0,18.4,25.19523764523764,2.329641422931057,0.10710995047958882,1.0184946272727272E7,2.2674485294253565E7,5.80102E7,18.0,1.12034409E8,1.86724015E7,2.894973509318124E7,5.80102E7,18.0,1.12033942E8,2.80084855E7,3.2375607072105438E7,5.8010496E7,6004.0,1,0,0,0,140,100,0.06248080444642681,0.04462914603316201,0.0,46.0,23.615384615384617,23.106775563091382,533.923076923077,0,1,0,0,1,0,0,0,0.0,25.583333333333332,24.142857142857142,18.4,0,0,0,0,0,0,7,169,5,92,1452,16384,3,20,6327.0,41.012193308819754,6356.0,6298.0,5.6010673E7,2827758.2017311878,5.80102E7,5.4011146E7,No Label
10.211.55.42-31.13.87.1-50234-443-6,31.13.87.1,443,10.211.55.42,50234,6,07/05/2018 10:09:32,5702,3,0,77.0,0.0,77.0,0.0,25.666666666666668,44.45597072760118,0,0,0,0,13504.033672395652,526.131182041389,2851.0,4019.1949442643363,5693.0,9.0,5702.0,2851.0,4019.1949442643363,5693.0,9.0,0,0,0,0,0,0,0,0,0,60,0,526.131182041389,0.0,0.0,77.0,19.25,38.5,1482.25,0,0,0,0,1,0,0,0,0.0,25.666666666666668,25.666666666666668,0.0,0,0,0,0,0,0,3,77,0,0,16384,-1,1,20,0,0,0,0,0,0,0,0,No Label
