Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
157.240.15.17-10.211.55.42-443-60096-6,157.240.15.17,443,10.211.55.42,60096,6,08/05/2018 04:53:37,432,1,2,77.0,0.0,77.0,77.0,77.0,0.0,0.0,0.0,0.0,0.0,178240.74074074076,6944.444444444444,216.0,151.32085117392117,323.0,109.0,0,0,0,0,0,323.0,323.0,0.0,323.0,323.0,1,0,0,0,20,40,2314.814814814815,4629.62962962963,0.0,77.0,38.5,44.45597072760118,1976.3333333333333,0,1,0,0,1,0,0,0,2.0,51.333333333333336,77.0,0.0,0,0,0,0,0,0,1,77,2,0,16384,6498,0,20,0,0,0,0,0,0,0,0,No Label
157.240.15.17-10.211.55.42-443-60096-6,157.240.15.17,443,10.211.55.42,60096,6,08/05/2018 04:53:37,827,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2418.3796856106405,827.0,0.0,827.0,827.0,827.0,827.0,0.0,827.0,827.0,0,0,0,0,0,0,0,0,0,40,0,2418.3796856106405,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,16384,-1,0,20,0,0,0,0,0,0,0,0,No Label
157.240.15.17-10.211.55.42-443-60076-6,10.211.55.42,60076,157.240.15.17,443,6,08/05/2018 04:53:25,19305256,3,4,0.0,77.0,0.0,0.0,0.0,0.0,46.0,0.0,19.25,23.05609102457165,3.988551097172708,0.362595554288428,3217542.666666667,7881090.851063872,1.9304752E7,8.0,1.9305248E7,9652624.0,1.3650586102148434E7,1.9305046E7,202.0,1.9305004E7,6435001.333333334,1.1145531018247867E7,1.9304752E7,16.0,0,0,0,0,60,80,0.15539809469504057,0.20719745959338742,0.0,46.0,9.624999999999998,18.267359649698378,333.6964285714285,0,0,0,0,1,0,0,0,1.0,11.0,0.0,19.25,0,0,0,0,0,0,3,0,4,77,8636,16384,0,20,252.0,0.0,252.0,252.0,1.9304752E7,0.0,1.9304752E7,1.9304752E7,No Label
10.211.55.42-31.13.87.5-34316-443-6,10.211.55.42,34316,31.13.87.5,443,6,08/05/2018 04:53:46,18761442,2,3,0.0,77.0,0.0,0.0,0.0,0.0,46.0,0.0,25.666666666666668,23.459184413217212,4.104162142760669,0.26650403524419924,4690360.5,9380269.001209881,1.8760764E7,43.0,1.8761219E7,1.8761219E7,0.0,1.8761219E7,1.8761219E7,1.876103E7,9380515.0,1.3265675354236662E7,1.8760764E7,266.0,0,0,0,0,40,60,0.10660161409767971,0.15990242114651956,0.0,46.0,12.833333333333332,20.43934115050352,417.7666666666666,0,0,0,0,1,0,0,0,1.0,15.4,0.0,25.666666666666668,0,0,0,0,0,0,2,0,3,77,11696,16384,0,20,412.0,0.0,412.0,412.0,1.8760764E7,0.0,1.8760764E7,1.8760764E7,No Label
10.211.55.42-31.13.87.5-34318-443-6,10.211.55.42,34318,31.13.87.5,443,6,08/05/2018 04:53:46,19380154,3,4,0.0,77.0,0.0,0.0,0.0,0.0,46.0,0.0,19.25,23.05609102457165,3.9731366427738393,0.36119424025216723,3230025.666666667,7911593.369056771,1.9379498E7,6.0,1.9380148E7,9690074.0,1.3703754875239413E7,1.9380092E7,56.0,1.9379612E7,6459870.666666666,1.1188725478155648E7,1.9379498E7,20.0,0,0,0,0,60,80,0.1547975315366431,0.20639670871552412,0.0,46.0,9.624999999999998,18.267359649698378,333.6964285714285,0,0,0,0,1,0,0,0,1.0,11.0,0.0,19.25,0,0,0,0,0,0,3,0,4,77,2164,16384,0,20,542.0,0.0,542.0,542.0,1.9379498E7,0.0,1.9379498E7,1.9379498E7,No Label
216.58.200.238-10.211.55.42-80-34232-6,10.211.55.42,34232,216.58.200.238,80,6,08/05/2018 04:53:48,58658113,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08523970077250866,1.466452825E7,2.1251016715576198E7,4.5055324E7,132.0,4.5055464E7,4.5055464E7,0.0,4.5055464E7,4.5055464E7,5.8657973E7,2.93289865E7,2.2240586455146827E7,4.5055456E7,1.3602517E7,0,0,0,0,40,60,0.034095880309003464,0.05114382046350519,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,3,0,274,16384,0,20,140.0,0.0,140.0,140.0,4.5055324E7,0.0,4.5055324E7,4.5055324E7,No Label
216.58.200.225-10.211.55.42-443-38728-6,10.211.55.42,38728,216.58.200.225,443,6,08/05/2018 04:53:48,59012395,2,4,0.0,63.0,0.0,0.0,0.0,0.0,63.0,0.0,15.75,31.5,1.0675723295080635,0.10167355519124414,1.1802479E7,1.9546604772818245E7,4.5055276E7,24.0,4.5055356E7,4.5055356E7,0.0,4.5055356E7,4.5055356E7,5.9012315E7,1.9670771666666664E7,2.306478473283426E7,4.505544E7,24.0,0,0,0,0,40,80,0.03389118506374805,0.0677823701274961,0.0,63.0,9.0,23.811761799581316,567.0,0,0,0,0,1,0,0,0,2.0,10.5,0.0,15.75,0,0,0,0,0,0,2,0,4,63,2318,16384,0,20,122.0,59.39696961966999,164.0,80.0,2.95060635E7,2.198990720172126E7,4.5055276E7,1.3956851E7,No Label
216.58.200.237-10.211.55.42-443-45344-6,10.211.55.42,45344,216.58.200.237,443,6,08/05/2018 04:53:50,59741170,3,4,0.0,63.0,0.0,0.0,0.0,0.0,63.0,0.0,15.75,31.5,1.054549149271767,0.11717212769686298,9956861.666666666,1.8170579074373096E7,4.5055927E7,54.0,5.9741116E7,2.9870558E7,2.1475442470680833E7,4.5055989E7,1.4685127E7,5.9741108E7,1.9913702666666664E7,2.297854526557907E7,4.5056032E7,127.0,0,0,0,0,60,80,0.05021662615579842,0.06695550154106457,0.0,63.0,7.875,22.273863607376246,496.125,0,0,0,0,1,0,0,0,1.0,9.0,0.0,15.75,0,0,0,0,0,0,3,0,4,63,3482,16384,0,20,83.5,30.405591591021544,105.0,62.0,2.9870438E7,2.1475524495067447E7,4.5055927E7,1.4684949E7,No Label
216.58.200.234-10.211.55.42-443-40836-6,10.211.55.42,40836,216.58.200.234,443,6,08/05/2018 04:53:52,59124207,2,4,0.0,63.0,0.0,0.0,0.0,0.0,63.0,0.0,15.75,31.5,1.06555340353233,0.10148127652688856,1.18248414E7,1.9550151844716776E7,4.5056372E7,125.0,4.5056497E7,4.5056497E7,0.0,4.5056497E7,4.5056497E7,5.9124082E7,1.9708027333333336E7,2.3051705485847015E7,4.5056518E7,174.0,0,0,0,0,40,80,0.03382709217562952,0.06765418435125904,0.0,63.0,9.0,23.811761799581316,567.0,0,0,0,0,1,0,0,0,2.0,10.5,0.0,15.75,0,0,0,0,0,0,2,0,4,63,365,16384,0,20,135.5,14.849242404917497,146.0,125.0,2.9561881E7,2.191251931426786E7,4.5056372E7,1.406739E7,No Label
216.58.200.227-10.211.55.42-443-52258-6,10.211.55.42,52258,216.58.200.227,443,6,08/05/2018 04:53:56,58611904,2,3,0.0,63.0,0.0,0.0,0.0,0.0,63.0,0.0,21.0,36.373066958946424,1.0748669758279819,0.08530690284349063,1.4652976E7,2.1252077073681995E7,4.5055904E7,110.0,4.5056014E7,4.5056014E7,0.0,4.5056014E7,4.5056014E7,5.8611794E7,2.9305897E7,2.2274159178010784E7,4.5056106E7,1.3555688E7,0,0,0,0,40,60,0.03412276113739625,0.05118414170609438,0.0,63.0,10.5,25.71964229922337,661.5,0,0,0,0,1,0,0,0,1.0,12.6,0.0,21.0,0,0,0,0,0,0,2,0,3,63,1734,16384,0,20,110.0,0.0,110.0,110.0,4.5055904E7,0.0,4.5055904E7,4.5055904E7,No Label
