Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.211.55.42-78.47.42.164-46902-443-6,10.211.55.42,46902,78.47.42.164,443,6,08/05/2018 03:20:56,3472791,2,3,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,8.926537761702331,1.4397641551132792,868197.75,1736198.8336889632,3472496.0,72.0,3472719.0,3472719.0,0.0,3472719.0,3472719.0,3472643.0,1736321.5,2455321.524546327,3472496.0,147.0,0,0,0,0,40,60,0.5759056620453117,0.8638584930679676,0.0,31.0,5.166666666666667,12.655697004379753,160.16666666666666,0,0,0,0,1,0,0,0,1.0,6.2,0.0,10.333333333333334,0,0,0,0,0,0,2,0,3,31,3006,16384,0,20,0,0,0,0,0,0,0,0,No Label
216.58.200.234-10.211.55.42-80-39062-6,10.211.55.42,39062,216.58.200.234,80,6,08/05/2018 03:20:59,2726804,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1001890858308847,1363402.0,1927980.379020492,2726690.0,114.0,2726804.0,2726804.0,0.0,2726804.0,2726804.0,0,0,0,0,0,0,0,0,0,40,20,0.7334593905539232,0.3667296952769616,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,244,16384,0,20,0,0,0,0,0,0,0,0,No Label
216.58.200.234-10.211.55.42-80-39064-6,10.211.55.42,39064,216.58.200.234,80,6,08/05/2018 03:20:59,2726874,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1001608435153218,1363437.0,1928004.4206510524,2726742.0,132.0,2726874.0,2726874.0,0.0,2726874.0,2726874.0,0,0,0,0,0,0,0,0,0,40,20,0.7334405623435479,0.36672028117177397,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,242,16384,0,20,0,0,0,0,0,0,0,0,No Label
216.58.200.234-10.211.55.42-80-39062-6,216.58.200.234,80,10.211.55.42,39062,6,08/05/2018 03:21:02,3284,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,609.0133982947625,3284.0,0.0,3284.0,3284.0,3284.0,3284.0,0.0,3284.0,3284.0,0,0,0,0,0,0,0,0,0,40,0,609.0133982947625,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,16384,-1,0,20,0,0,0,0,0,0,0,0,No Label
216.58.200.234-10.211.55.42-80-39064-6,216.58.200.234,80,10.211.55.42,39064,6,08/05/2018 03:21:02,3609,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,554.1701302299806,3609.0,0.0,3609.0,3609.0,3609.0,3609.0,0.0,3609.0,3609.0,0,0,0,0,0,0,0,0,0,40,0,554.1701302299806,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,16384,-1,0,20,0,0,0,0,0,0,0,0,No Label
10.211.55.42-52.11.162.210-60812-443-6,10.211.55.42,60812,52.11.162.210,443,6,08/05/2018 03:20:53,9819284,3,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,3.1570529989763,0.5092020966090807,2454821.0,4909466.666910844,9819021.0,40.0,9819284.0,4909642.0,6943063.099694399,9819129.0,155.0,9819021.0,9819021.0,0.0,9819021.0,9819021.0,0,0,0,0,60,40,0.30552125796544843,0.20368083864363226,0.0,31.0,5.166666666666667,12.655697004379753,160.16666666666666,0,0,0,0,1,0,0,0,0.0,6.2,0.0,15.5,0,0,0,0,0,0,3,0,2,31,297,16384,0,20,68.0,0.0,68.0,68.0,9819021.0,0.0,9819021.0,9819021.0,No Label
10.211.55.42-52.11.162.210-60810-443-6,10.211.55.42,60810,52.11.162.210,443,6,08/05/2018 03:20:53,9820523,3,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,3.1566546914049285,0.5091378534524078,2455130.75,4910074.833543061,9820243.0,30.0,9820523.0,4910261.5,6943968.903481099,9820389.0,134.0,9820243.0,9820243.0,0.0,9820243.0,9820243.0,0,0,0,0,60,40,0.3054827120714447,0.2036551413809631,0.0,31.0,5.166666666666667,12.655697004379753,160.16666666666666,0,0,0,0,1,0,0,0,0.0,6.2,0.0,15.5,0,0,0,0,0,0,3,0,2,31,297,16384,0,20,116.0,0.0,116.0,116.0,9820243.0,0.0,9820243.0,9820243.0,No Label
10.211.55.42-52.11.162.210-60806-443-6,10.211.55.42,60806,52.11.162.210,443,6,08/05/2018 03:20:53,10078117,2,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,3.0759714339494173,0.39689953986444093,3359372.333333333,5818286.5982883945,1.0077751E7,92.0,1.0078117E7,1.0078117E7,0.0,1.0078117E7,1.0078117E7,1.0077751E7,1.0077751E7,0.0,1.0077751E7,1.0077751E7,0,0,0,0,40,40,0.19844976993222047,0.19844976993222047,0.0,31.0,6.2,13.863621460498695,192.2,0,0,0,0,1,0,0,0,1.0,7.75,0.0,15.5,0,0,0,0,0,0,2,0,2,31,297,16384,0,20,92.0,0.0,92.0,92.0,1.0077751E7,0.0,1.0077751E7,1.0077751E7,No Label
10.211.55.42-52.11.162.210-60808-443-6,10.211.55.42,60808,52.11.162.210,443,6,08/05/2018 03:20:53,10080186,2,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,3.0753400780501474,0.39681807458711577,3360062.0,5819556.479687692,1.0079907E7,92.0,1.0080186E7,1.0080186E7,0.0,1.0080186E7,1.0080186E7,1.0079907E7,1.0079907E7,0.0,1.0079907E7,1.0079907E7,0,0,0,0,40,40,0.19840903729355788,0.19840903729355788,0.0,31.0,6.2,13.863621460498695,192.2,0,0,0,0,1,0,0,0,1.0,7.75,0.0,15.5,0,0,0,0,0,0,2,0,2,31,297,16384,0,20,92.0,0.0,92.0,92.0,1.0079907E7,0.0,1.0079907E7,1.0079907E7,No Label
10.211.55.42-52.11.162.210-60810-443-6,52.11.162.210,443,10.211.55.42,60810,6,08/05/2018 03:21:03,242261,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,8.255559087100275,242261.0,0.0,242261.0,242261.0,242261.0,242261.0,0.0,242261.0,242261.0,0,0,0,0,0,0,0,0,0,40,0,8.255559087100275,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,16384,-1,0,20,0,0,0,0,0,0,0,0,No Label
10.211.55.42-52.11.162.210-60806-443-6,52.11.162.210,443,10.211.55.42,60806,6,08/05/2018 03:21:03,247275,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,8.088160954402992,247275.0,0.0,247275.0,247275.0,247275.0,247275.0,0.0,247275.0,247275.0,0,0,0,0,0,0,0,0,0,40,0,8.088160954402992,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,16384,-1,0,20,0,0,0,0,0,0,0,0,No Label
10.211.55.42-52.11.162.210-60812-443-6,52.11.162.210,443,10.211.55.42,60812,6,08/05/2018 03:21:03,250627,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,7.9799861946238835,250627.0,0.0,250627.0,250627.0,250627.0,250627.0,0.0,250627.0,250627.0,0,0,0,0,0,0,0,0,0,40,0,7.9799861946238835,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,16384,-1,0,20,0,0,0,0,0,0,0,0,No Label
10.211.55.42-52.11.162.210-60808-443-6,52.11.162.210,443,10.211.55.42,60808,6,08/05/2018 03:21:03,249336,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,8.0213045849777,249336.0,0.0,249336.0,249336.0,249336.0,249336.0,0.0,249336.0,249336.0,0,0,0,0,0,0,0,0,0,40,0,8.0213045849777,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,16384,-1,0,20,0,0,0,0,0,0,0,0,No Label
10.211.55.42-104.25.32.27-53448-443-6,10.211.55.42,53448,104.25.32.27,443,6,08/05/2018 03:21:08,324690,11,9,506.0,4469.0,194.0,0.0,46.0,77.01558283879957,1460.0,0.0,496.55555555555554,671.6306855540311,15322.307431704088,61.59721580584558,17088.94736842105,36390.6478163975,108101.0,5.0,324690.0,32469.000000000004,45926.00676208537,108106.0,21.0,216102.0,27012.75,41176.55202643507,100057.0,248.0,0,0,0,0,240,188,33.87846869321507,27.71874711263051,0.0,1460.0,236.90476190476184,486.40506830849375,236589.89047619049,0,0,0,1,0,0,0,0,0.0,248.75,46.0,496.55555555555554,0,0,0,0,0,0,11,506,9,4469,29200,16384,4,20,0,0,0,0,0,0,0,0,No Label
10.211.55.42-104.25.32.27-53450-443-6,10.211.55.42,53450,104.25.32.27,443,6,08/05/2018 03:21:08,340686,11,9,506.0,4470.0,194.0,0.0,46.0,77.01558283879957,1460.0,0.0,496.6666666666667,671.7657701907711,14605.824718362364,58.705083273160625,17930.842105263164,39801.812340455,115092.0,5.0,340686.0,34068.6,50793.40705949061,115186.0,23.0,225020.0,28127.5,46495.76841882649,115092.0,6.0,0,0,0,0,240,188,32.28779580023834,26.417287472922283,0.0,1460.0,236.95238095238093,486.5063695565019,236688.44761904763,0,0,0,1,0,0,0,0,0.0,248.8,46.0,496.6666666666667,0,0,0,0,0,0,11,506,9,4470,29200,16384,4,20,0,0,0,0,0,0,0,0,No Label
