Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
5.9.122.110-10.211.55.42-9010-33462-6,5.9.122.110,9010,10.211.55.42,33462,6,07/05/2018 09:04:00,119704422,4796,2778,5474850.0,779757.0,1460.0,0.0,1141.5450375312769,577.1989938242436,10220.0,0.0,280.6900647948163,720.2959195995669,52250.425635905085,63.27251636535199,15806.737356397738,119697.54369625945,4013689.0,-1.0,1.19704422E8,24964.425860271174,150289.88681335893,4013938.0,1.0,1.19662473E8,43090.55563557797,195680.39898187708,4013689.0,3.0,1,0,0,0,95920,55560,40.06535364249117,23.207162722860815,0.0,10220.0,825.762376237622,757.1472199198291,573271.912632326,0,1,0,0,1,0,0,0,0.0,825.8714021653024,1141.545037531276,280.6900647948164,0,0,0,0,0,0,4796,5474850,2778,779757,16384,19947,3885,20,0,0,0,0,0,0,0,0,No Label
5.9.122.110-10.211.55.42-9010-33462-6,5.9.122.110,9010,10.211.55.42,33462,6,07/05/2018 09:06:01,119820205,1516,916,1674028.0,295530.0,1460.0,0.0,1104.2401055408984,596.3329980988032,4380.0,0.0,322.6310043668121,767.2547580128886,16437.611669918275,20.297077608905777,49288.44302756068,386301.6948453042,7226230.0,1.0,1.19820205E8,79089.24422442247,487797.20144839137,7226230.0,1.0,1.19819263E8,130950.01420765015,622088.9891610603,7226635.0,4.0,1,0,0,0,30320,18320,12.652290154235674,7.644787454670103,0.0,4380.0,809.9527332511291,765.8103501648042,586465.49241954,0,1,0,0,1,0,0,0,0.0,810.2857730263158,1104.240105540897,322.63100436681225,0,0,0,0,0,0,1516,1674028,916,295530,16384,19947,1202,20,9873811.666666666,9675553.683536414,2.7301106E7,31.0,6024599.333333334,948911.2052926061,7226230.0,5053594.0,No Label
224.0.0.251-10.211.55.2-5353-5353-17,10.211.55.2,5353,224.0.0.251,5353,17,07/05/2018 09:06:01,39985118,9,0,358.0,0.0,54.0,36.0,39.77777777777778,5.696002496878354,0,0,0,0,8.953331086830856,0.22508374240636228,4998139.75,7051265.392810037,2.203981E7,900478.0,3.9985118E7,4998139.75,7051265.392810037,2.203981E7,900478.0,0,0,0,0,0,0,0,0,0,72,0,0.22508374240636228,0.0,36.0,54.0,39.800000000000004,5.3707024162994195,28.844444444444427,0,0,0,0,0,0,0,0,0.0,44.22222222222222,39.77777777777778,0.0,0,0,0,0,0,0,9,358,0,0,-1,-1,8,8,1.2932397E7,0.0,1.2932397E7,1.2932397E7,1.35263605E7,1.2039835745478446E7,2.203981E7,5012911.0,No Label
10.211.55.42-77.87.49.6-49492-9002-6,77.87.49.6,9002,10.211.55.42,49492,6,07/05/2018 09:04:23,43,1,1,543.0,0.0,543.0,543.0,543.0,0.0,0.0,0.0,0.0,0.0,1.2627906976744186E7,46511.62790697674,43.0,0.0,43.0,43.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,20,23255.81395348837,23255.81395348837,0.0,543.0,362.0,313.5011961699668,98283.0,0,1,0,0,1,0,0,0,1.0,543.0,543.0,0.0,0,0,0,0,0,0,1,543,1,0,16384,587,0,20,0,0,0,0,0,0,0,0,No Label
10.211.55.42-77.87.49.6-49492-9002-6,77.87.49.6,9002,10.211.55.42,49492,6,07/05/2018 09:08:19,188,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10638.297872340427,188.0,0.0,188.0,188.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,5319.148936170213,5319.148936170213,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,16384,587,0,20,0,0,0,0,0,0,0,0,No Label
5.9.122.110-10.211.55.42-9010-33462-6,5.9.122.110,9010,10.211.55.42,33462,6,07/05/2018 09:08:01,119997712,4440,2581,5186108.0,644920.0,1571.0,0.0,1168.0423423423463,555.9215133469332,4380.0,0.0,249.87214258039535,649.8592083081442,48592.826503225326,58.50944891349261,17093.691168091278,134775.98736546104,5134086.0,1.0,1.19997712E8,27032.60013516547,169411.94470357776,5134691.0,1.0,1.19988489E8,46507.16627906956,219848.88675771793,5134299.0,3.0,1,0,0,0,88800,51620,37.000705480117816,21.508743433374796,0.0,4380.0,830.6179151238972,739.3543226321572,546644.814394856,0,1,0,0,1,0,0,0,0.0,830.7362199116935,1168.0423423423424,249.8721425803952,0,0,0,0,0,0,4440,5186108,2581,644920,19947,19947,3675,20,2.7492562E7,0.0,2.7492562E7,2.7492562E7,5134086.0,0.0,5134086.0,5134086.0,No Label
10.211.55.42-93.180.156.84-57424-9001-6,10.211.55.42,57424,93.180.156.84,9001,6,07/05/2018 09:05:39,102385022,2,2,543.0,543.0,543.0,0.0,271.5,383.9589821842953,543.0,0.0,271.5,383.9589821842953,10.607020233877568,0.03906821448942014,3.412834066666667E7,5.9111108089945816E7,1.02383969E8,39.0,1.02385022E8,1.02385022E8,0.0,1.02385022E8,1.02385022E8,1.02383969E8,1.02383969E8,0.0,1.02383969E8,1.02383969E8,1,0,0,0,40,40,0.01953410724471007,0.01953410724471007,0.0,543.0,325.8,297.41334872530524,88454.70000000001,0,1,0,0,1,0,0,0,1.0,407.25,271.5,271.5,0,0,0,0,0,0,2,543,2,543,6584,16384,0,20,1014.0,0.0,1014.0,1014.0,1.02383969E8,0.0,1.02383969E8,1.02383969E8,No Label
5.9.122.110-10.211.55.42-9010-33462-6,5.9.122.110,9010,10.211.55.42,33462,6,07/05/2018 09:10:01,119617900,3667,2133,3872263.0,866462.0,1571.0,0.0,1055.975729479141,626.249773004942,10220.0,0.0,406.2175339896854,943.1817839684263,39615.51741001973,48.48772633527256,20627.332298672198,157288.66163458524,6237089.0,-22.0,1.196179E8,32628.996181123795,197827.91159516602,6280633.0,1.0,1.19241314E8,55929.321763602304,256421.4592178383,6237089.0,4.0,1,0,0,0,73340,42660,30.655946977835256,17.831779357437306,0.0,10220.0,817.1515255990323,820.4592574104554,673153.393070516,0,1,0,0,1,0,0,0,0.0,817.2924137931035,1055.9757294791382,406.2175339896859,0,0,0,0,0,0,3667,3872263,2133,866462,19947,19947,2779,20,3.5067366E7,4.953156854362002E7,7.0091474E7,43258.0,5950493.0,405307.9501218796,6237089.0,5663897.0,No Label
10.211.55.42-62.210.138.3-45360-9001-6,10.211.55.42,45360,62.210.138.3,9001,6,07/05/2018 09:08:18,1332758,2,2,543.0,543.0,543.0,0.0,271.5,383.9589821842953,543.0,0.0,271.5,383.9589821842953,814.8516084690543,3.0012950588178797,444252.6666666666,768946.0208716431,1332155.0,41.0,1332758.0,1332758.0,0.0,1332758.0,1332758.0,1332155.0,1332155.0,0.0,1332155.0,1332155.0,1,0,0,0,40,40,1.5006475294089399,1.5006475294089399,0.0,543.0,325.8,297.41334872530524,88454.70000000001,0,1,0,0,1,0,0,0,1.0,407.25,271.5,271.5,0,0,0,0,0,0,2,543,2,543,428,16384,0,20,0,0,0,0,0,0,0,0,No Label
5.9.122.110-10.211.55.42-9010-33462-6,5.9.122.110,9010,10.211.55.42,33462,6,07/05/2018 09:12:01,119903551,3828,2215,4297280.0,719115.0,1460.0,0.0,1122.59143155695,590.256256768214,4380.0,0.0,324.65688487584623,791.6077385663506,41836.917740659745,50.3988409817821,19845.010095994727,176997.43855545195,6861913.0,-10.0,1.19903532E8,31330.946433237485,222155.71521697968,6862122.0,1.0,1.19903507E8,54156.95889792233,289960.46987741656,6861913.0,3.0,1,0,0,0,76560,44300,31.925659983164305,18.4731809986178,0.0,4380.0,830.22088021178,773.3867981294471,598127.1395209181,0,1,0,0,1,0,0,0,0.0,830.3582657620387,1122.5914315569487,324.6568848758465,0,0,0,0,0,0,3828,4297280,2215,719115,16384,19947,3051,20,2203682.333333333,3816683.651888683,6610809.0,38.0,6155300.666666667,782058.205087277,6861913.0,5315025.0,No Label
10.211.55.42-93.180.156.84-57424-9001-6,10.211.55.42,57424,93.180.156.84,9001,6,07/05/2018 09:10:39,102395477,2,2,543.0,543.0,543.0,0.0,271.5,383.9589821842953,543.0,0.0,271.5,383.9589821842953,10.605937213418128,0.03906422546378684,3.413182566666667E7,5.911753399706894E7,1.02394874E8,27.0,1.02395477E8,1.02395477E8,0.0,1.02395477E8,1.02395477E8,1.02394874E8,1.02394874E8,0.0,1.02394874E8,1.02394874E8,1,0,0,0,40,40,0.01953211273189342,0.01953211273189342,0.0,543.0,325.8,297.41334872530524,88454.70000000001,0,1,0,0,1,0,0,0,1.0,407.25,271.5,271.5,0,0,0,0,0,0,2,543,2,543,6584,16384,0,20,576.0,0.0,576.0,576.0,1.02394874E8,0.0,1.02394874E8,1.02394874E8,No Label
5.9.122.110-10.211.55.42-9010-33462-6,5.9.122.110,9010,10.211.55.42,33462,6,07/05/2018 09:14:01,119876724,5044,2861,5991490.0,713406.0,1460.0,0.0,1187.8449643140352,542.26984749285,4380.0,0.0,249.3554701153443,670.165596247687,55931.591857648695,65.94274297986321,15166.589574898793,139815.77591310855,5821230.0,-2.0,1.19876724E8,23770.914931588246,175035.45012430887,5821230.0,1.0,1.19875849E8,41914.63251748258,230579.77767658478,5821594.0,4.0,1,0,0,0,100880,57220,42.07655858196458,23.86618439789863,0.0,4380.0,848.2615734884882,743.9961251000896,553530.2341639481,0,1,0,0,1,0,0,0,0.0,848.368880455408,1187.8449643140366,249.35547011534427,0,0,0,0,0,0,5044,5991490,2861,713406,16384,19947,4233,20,3595601.0,5084830.319356586,7191119.0,83.0,5634553.5,264000.43807634106,5821230.0,5447877.0,No Label
