Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
5.9.122.110-10.211.55.42-9010-53188-6,5.9.122.110,9010,10.211.55.42,53188,6,07/05/2018 08:30:06,119026666,9013,4803,1.1468488E7,816974.0,1460.0,0.0,1272.4384777543567,462.4456779000371,4380.0,0.0,170.0966062877371,521.6922547419929,103216.04740235268,116.07482982006738,8615.755772710843,77983.91381003271,3921787.0,-1.0,1.18983246E8,13202.756990679083,96992.17108364358,3922039.0,1.0,1.1902664E8,24786.888796334824,131267.97856377636,3921787.0,3.0,1,0,0,0,180260,96060,75.7225275889018,40.352302231165574,0.0,4380.0,889.1948324527762,713.919262378908,509680.71319564414,0,1,0,0,1,0,0,0,0.0,889.2591922408801,1272.4384777543548,170.09660628773682,0,0,0,0,0,0,9013,11468488,4803,816974,16384,20853,8032,20,0,0,0,0,0,0,0,0,No Label
5.9.122.110-10.211.55.42-9010-53188-6,5.9.122.110,9010,10.211.55.42,53188,6,07/05/2018 08:32:08,119561042,2721,1135,3395268.0,255433.0,1460.0,0.0,1247.8015435501668,481.05106997499377,4077.0,0.0,225.0511013215861,531.629037029068,30534.201935108595,32.25130808077099,31014.537483787295,233958.1086762779,5336536.0,1.0,1.19517216E8,43940.15294117648,278356.06700347096,5336769.0,1.0,1.18648074E8,104627.9312169312,422121.66336469626,5336536.0,4.0,1,0,0,0,54420,22700,22.758249296622893,9.4930587841481,0.0,4077.0,946.7871402644548,680.8973211054117,463621.1618885262,0,1,0,0,1,0,0,0,0.0,947.0326763485477,1247.8015435501654,225.0511013215859,0,0,0,0,0,0,2721,3395268,1135,255433,20853,20853,2402,20,4.2873493E7,0.0,4.2873493E7,4.2873493E7,5336536.0,0.0,5336536.0,5336536.0,No Label
10.211.55.42-62.210.138.3-39264-9001-6,10.211.55.42,39264,62.210.138.3,9001,6,07/05/2018 08:30:20,51214071,22,27,6314.0,7978.0,1057.0,0.0,287.0,309.9818735099875,1448.0,0.0,295.4814814814815,379.45450425277704,279.06393147305164,0.9567683068975322,1066959.8124999998,5170784.393228246,3.4035007E7,17.0,5.1214071E7,2438765.285714286,7702329.0192884,3.4035176E7,1462.0,5.0875397E7,1956746.0384615385,6961982.788762113,3.4035202E7,249.0,0,0,0,0,460,548,0.4295694439131777,0.5271988629843545,0.0,1448.0,285.84,345.3994055984391,119300.74938775506,0,0,0,1,0,0,0,0,1.0,291.6734693877551,287.0,295.48148148148147,0,0,0,0,0,0,22,6314,27,7978,29200,16384,13,20,1341898.0,334680.7106034048,1578553.0,1105243.0,2.31648525E7,1.537271991899093E7,3.4035007E7,1.2294698E7,No Label
5.9.122.110-10.211.55.42-9010-53188-6,5.9.122.110,9010,10.211.55.42,53188,6,07/05/2018 08:34:11,112914861,162,133,136271.0,41853.0,1460.0,0.0,841.1790123456785,645.1467058765521,2085.0,0.0,314.6842105263158,540.9411322985527,1577.5071449629645,2.6125879037304043,384064.1530612243,1211527.4366445516,7626639.0,2.0,1.12914861E8,701334.5403726709,1570627.190095922,7627188.0,2.0,1.06737143E8,808614.7196969697,1633115.0390615843,7626639.0,6.0,1,0,0,0,3240,2660,1.4347092895061881,1.1778786142242161,0.0,2085.0,603.6047297297296,653.2457910853879,426730.0635707742,0,1,0,0,1,0,0,0,0.0,605.6508474576272,841.179012345679,314.6842105263158,0,0,0,0,0,0,162,136271,133,41853,20853,20853,111,20,7083985.25,1.1229037170167336E7,3.0649964E7,34.0,6232080.0,857348.8771379563,7626639.0,5117684.0,No Label
5.9.122.110-10.211.55.42-9010-53188-6,5.9.122.110,9010,10.211.55.42,53188,6,07/05/2018 08:36:13,119771256,921,574,1176649.0,55863.0,1460.0,0.0,1277.5776330076017,445.5377828842741,2085.0,0.0,97.32229965156787,260.7149231628262,10290.549178176774,12.482126763369669,80168.1767068273,605696.0550421136,7686788.0,1.0,1.19771228E8,130186.11739130436,768885.2925433937,7686788.0,1.0,1.19635353E8,208787.70157068063,966081.0809688423,7686988.0,3.0,1,0,0,0,18420,11480,7.6896580261294085,4.792468737240261,0.0,2085.0,824.234625668449,691.19502770105,477750.56631865527,0,1,0,0,1,0,0,0,0.0,824.7859531772575,1277.5776330076005,97.32229965156795,0,0,0,0,0,0,921,1176649,574,55863,20853,20853,834,20,4391968.6,7978448.400930321,2.5319686E7,40.0,6388466.0,1045946.1190736995,7686788.0,5029880.0,No Label
5.9.122.110-10.211.55.42-9010-53188-6,5.9.122.110,9010,10.211.55.42,53188,6,07/05/2018 08:38:18,118191272,152,118,142982.0,34280.0,1460.0,0.0,940.6710526315791,640.1265476742044,4077.0,0.0,290.5084745762712,672.4574113005505,1499.7892568581544,2.2844326440619067,439372.758364312,1440229.7538244575,8526766.0,2.0,1.18191252E8,782723.5231788073,1855052.2526468332,8568865.0,2.0,1.10759154E8,946659.4358974356,1965671.1726560618,8526766.0,7.0,1,0,0,0,3040,2360,1.2860509699904068,0.9983816740715,0.0,4077.0,656.1070110701106,727.4377710350492,529165.7107284407,0,1,0,0,1,0,0,0,0.0,658.5370370370371,940.671052631579,290.50847457627117,0,0,0,0,0,0,152,142982,118,34280,20853,20853,111,20,2602851.4,5058722.846202833,1.6016719E7,35.0,6662487.9,1343386.8991553856,8526766.0,5191879.0,No Label
10.211.55.42-62.210.138.3-39264-9001-6,10.211.55.42,39264,62.210.138.3,9001,6,07/05/2018 08:36:10,470592,2,2,543.0,543.0,543.0,0.0,271.5,383.9589821842953,543.0,0.0,271.5,383.9589821842953,2307.7315381476947,8.499932000543996,156864.0,271450.48620512726,470308.0,39.0,470592.0,470592.0,0.0,470592.0,470592.0,470308.0,470308.0,0.0,470308.0,470308.0,1,0,0,0,40,40,4.249966000271998,4.249966000271998,0.0,543.0,325.8,297.41334872530524,88454.70000000001,0,1,0,0,1,0,0,0,1.0,407.25,271.5,271.5,0,0,0,0,0,0,2,543,2,543,380,16384,0,20,0,0,0,0,0,0,0,0,No Label
5.9.122.110-10.211.55.42-9010-53188-6,5.9.122.110,9010,10.211.55.42,53188,6,07/05/2018 08:40:19,116576098,43,41,16485.0,13973.0,1460.0,0.0,383.37209302325573,489.19374987518336,1057.0,0.0,340.80487804878044,372.215073547015,261.27139716067694,0.7205593722994571,1404531.3012048192,2347067.423010763,8684645.0,4.0,1.16576098E8,2775621.380952381,2668363.77937395,8685061.0,42.0,1.1541516E8,2885379.0000000005,2684785.2174382354,8684778.0,13.0,1,0,0,0,860,820,0.3688577739151983,0.35170159838425885,0.0,1460.0,364.71764705882356,431.8150676633048,186464.25266106447,0,1,0,0,1,0,0,0,0.0,369.0595238095238,383.3720930232558,340.8048780487805,0,0,0,0,0,0,43,16485,41,13973,20853,20853,20,20,5271514.199999999,4960475.994420759,1.264894E7,28.0,6386082.7,1023736.6379085168,8684645.0,5037491.0,No Label
5.9.122.110-10.211.55.42-9010-53188-6,5.9.122.110,9010,10.211.55.42,53188,6,07/05/2018 08:42:24,118154224,23,21,5430.0,6516.0,543.0,0.0,236.08695652173913,275.23030241524816,543.0,0.0,310.28571428571433,275.3512561905507,101.10514542417036,0.37239464244629966,2747772.65116279,3319308.7696390296,9245399.0,22.0,1.18154224E8,5370646.545454544,2698242.6963499202,9245559.0,146.0,1.12446499E8,5622324.95,2540916.8338766694,9245519.0,69876.0,1,0,0,0,460,420,0.1946608358242021,0.17773380662209756,0.0,543.0,277.53333333333336,274.50009107466616,75350.3,0,1,0,0,1,0,0,0,0.0,283.84090909090907,236.08695652173913,310.2857142857143,0,0,0,0,0,0,23,5430,21,6516,20853,20853,9,20,1005040.8666666668,1781220.5020670462,4801061.0,25.0,6871892.2,1210953.4738633614,9245399.0,5091861.0,No Label
10.211.55.42-62.210.138.3-39264-9001-6,10.211.55.42,39264,62.210.138.3,9001,6,07/05/2018 08:41:10,529196,2,2,543.0,543.0,543.0,0.0,271.5,383.9589821842953,543.0,0.0,271.5,383.9589821842953,2052.1697064981595,7.558636119698561,176398.6666666667,305350.4560473643,528987.0,67.0,529196.0,529196.0,0.0,529196.0,529196.0,528987.0,528987.0,0.0,528987.0,528987.0,1,0,0,0,40,40,3.7793180598492806,3.7793180598492806,0.0,543.0,325.8,297.41334872530524,88454.70000000001,0,1,0,0,1,0,0,0,1.0,407.25,271.5,271.5,0,0,0,0,0,0,2,543,2,543,389,16384,0,20,0,0,0,0,0,0,0,0,No Label
5.9.122.110-10.211.55.42-9010-53188-6,5.9.122.110,9010,10.211.55.42,53188,6,07/05/2018 08:44:30,118660668,23,23,8688.0,3801.0,543.0,0.0,377.7391304347826,255.46627911105185,543.0,0.0,165.2608695652174,255.46627911105185,105.24970245406001,0.3876600458713076,2636903.7333333325,3141908.8404237526,9143512.0,24.0,1.18660642E8,5393665.545454547,2260202.8057122016,9143541.0,298856.0,1.18660627E8,5393664.863636364,2260413.5608866187,9143541.0,299007.0,1,0,0,0,460,460,0.1938300229356538,0.1938300229356538,0.0,543.0,277.2765957446809,274.3730958834719,75280.59574468086,0,1,0,0,1,0,0,0,1.0,283.30434782608694,377.7391304347826,165.2608695652174,0,0,0,0,0,0,23,8688,23,3801,16384,20853,15,20,1716418.0714285716,2483823.373493418,8473133.0,26.0,6759342.071428572,1343162.9610049021,9143512.0,5080956.0,No Label
