Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.211.55.42-62.210.138.3-60554-9001-6,62.210.138.3,9001,10.211.55.42,60554,6,17/05/2018 05:03:24,110698605,8131,4194,1.0735105E7,414155.0,1460.0,0.0,1320.2687246341209,400.1845373581422,4077.0,0.0,98.74940391034808,299.92675535773765,100717.25836111484,111.33834974704514,8982.360029211302,84113.98254313438,4807322.0,-2.0,1.10698588E8,13616.062484624825,103910.13794921305,4807350.0,1.0,1.10698324E8,26400.7450512759,142966.63398741971,4807339.0,2.0,1,0,0,0,162620,83880,73.45169345178289,37.886656295262256,0.0,4077.0,904.6493590783712,686.4627305605729,471231.0804486777,0,1,0,0,1,0,0,0,0.0,904.7227586206897,1320.2687246341163,98.74940391034812,0,0,0,0,0,0,8131,10735105,4194,414155,16384,12137,7534,20,0,0,0,0,0,0,0,0,No Label
10.211.55.42-62.210.138.3-60554-9001-6,62.210.138.3,9001,10.211.55.42,60554,6,17/05/2018 05:05:26,119984051,2155,1280,2544192.0,278803.0,1460.0,0.0,1180.5995359628785,552.9942397961265,4077.0,0.0,217.81484374999977,517.0734353487605,23528.08541195196,28.628805006758775,34940.026499708765,544335.3795392537,2.0479144E7,-1.0,1.19984039E8,55702.896471680535,686809.0950839651,2.0479393E7,1.0,1.19984009E8,93810.79671618457,889223.3000980942,2.0479144E7,2.0,1,0,0,0,43100,25600,17.960720462755503,10.66808454400327,0.0,4077.0,821.7514551804412,712.7669874385043,508036.77838216105,0,1,0,0,1,0,0,0,0.0,821.9906841339156,1180.599535962877,217.81484375,0,0,0,0,0,0,2155,2544192,1280,278803,16384,12137,1788,20,855326.8,1170748.1820868654,2919474.0,42.0,1.31877338E7,5437931.977036325,2.0479144E7,7218640.0,No Label
10.211.55.42-62.210.138.3-60554-9001-6,62.210.138.3,9001,10.211.55.42,60554,6,17/05/2018 05:07:26,113983354,10288,5072,1.3754053E7,477053.0,1460.0,0.0,1336.9025077760493,375.6164703396865,4077.0,0.0,94.05619085173491,327.1384085559436,124852.49381238596,134.7565189211751,7421.27443192915,103030.2258059153,7006814.0,-72.0,1.13983323E8,11080.32691746866,126828.53196081363,7048399.0,1.0,1.13983109E8,22477.44212186939,178638.89479371853,7006814.0,2.0,1,0,0,0,205760,101440,90.25879340241207,44.497725518763026,0.0,4077.0,926.4943037562687,686.6285208428706,471458.7256348683,0,1,0,0,1,0,0,0,0.0,926.5546223958333,1336.9025077760498,94.05619085173501,0,0,0,0,0,0,10288,13754053,5072,477053,16384,17225,9621,20,4.9090063E7,1.2246453054047935E7,5.7749613E7,4.0430513E7,6620869.0,545808.6533300842,7006814.0,6234924.0,No Label
10.211.55.42-93.180.156.84-58562-9001-6,93.180.156.84,9001,10.211.55.42,58562,6,17/05/2018 05:04:35,4848,2,1,543.0,543.0,543.0,0.0,271.5,383.9589821842953,543.0,543.0,543.0,0.0,224009.900990099,618.8118811881188,2424.0,3179.152088214718,4672.0,176.0,4848.0,4848.0,0.0,4848.0,4848.0,0,0,0,0,0,1,0,0,0,40,20,412.54125412541254,206.27062706270627,0.0,543.0,407.25,271.5,73712.25,0,1,0,0,1,0,0,0,0.0,543.0,271.5,543.0,0,0,0,0,0,0,2,543,1,543,16384,555,0,20,0,0,0,0,0,0,0,0,No Label
10.211.55.42-62.210.138.3-60554-9001-6,62.210.138.3,9001,10.211.55.42,60554,6,17/05/2018 05:09:33,119720525,5848,3080,7742905.0,266847.0,1460.0,0.0,1324.026162790696,393.62195315295804,3113.0,0.0,86.63863636363669,274.1452018298884,66903.74937797843,74.57367899113373,13411.059146409763,268627.24780717626,1.9074027E7,-1.0,1.19720525E8,20475.547289208214,332565.4384432055,1.9120734E7,1.0,1.19720365E8,38882.872685936934,456456.7667969833,1.9074047E7,2.0,1,0,0,0,116960,61600,48.84709618505265,25.72658280608108,0.0,3113.0,897.1099787210213,688.0341925946058,473391.05017931113,0,1,0,0,1,0,0,0,0.0,897.210461469534,1324.0261627906978,86.63863636363637,0,0,0,0,0,0,5848,7742905,3080,266847,16384,18693,5440,20,1.580568725E7,1.2372200127394436E7,2.6535563E7,23.0,1.087173925E7,6505476.9511457225,1.9074027E7,5210947.0,No Label
10.211.55.42-62.210.138.3-60554-9001-6,62.210.138.3,9001,10.211.55.42,60554,6,17/05/2018 05:11:33,107019851,2615,1448,3421361.0,138346.0,1460.0,0.0,1308.359847036326,412.8257117013806,2085.0,0.0,95.54281767955783,286.8833037234642,33262.11881943286,37.964919237273094,26346.590595765643,422685.85768382344,1.730381E7,-19.0,1.07019807E8,40941.01262433054,526843.5824589932,1.7304048E7,1.0,1.07019812E8,73959.7871458189,706046.2087425006,1.730381E7,3.0,1,0,0,0,52300,28960,24.43471912514623,13.530200112126861,0.0,2085.0,876.2714074803141,690.2425081580469,476434.72006831144,0,1,0,0,1,0,0,0,0.0,876.4870785134137,1308.3598470363288,95.54281767955801,0,0,0,0,0,0,2615,3421361,1448,138346,16384,18693,2414,20,1.06502388E7,2.1952806598598942E7,4.9887744E7,256.0,1.06670988E7,5374051.95254109,1.730381E7,5169741.0,No Label
10.211.55.42-93.180.156.84-58562-9001-6,93.180.156.84,9001,10.211.55.42,58562,6,17/05/2018 05:09:35,6577,2,1,543.0,543.0,543.0,0.0,271.5,383.9589821842953,543.0,543.0,543.0,0.0,165120.87577923064,456.13501596472554,3288.5,4390.426004387274,6393.0,184.0,6577.0,6577.0,0.0,6577.0,6577.0,0,0,0,0,0,1,0,0,0,40,20,304.0900106431504,152.0450053215752,0.0,543.0,407.25,271.5,73712.25,0,1,0,0,1,0,0,0,0.0,543.0,271.5,543.0,0,0,0,0,0,0,2,543,1,543,16384,564,0,20,0,0,0,0,0,0,0,0,No Label
10.211.55.42-62.210.138.3-60554-9001-6,62.210.138.3,9001,10.211.55.42,60554,6,17/05/2018 05:13:49,119958292,10079,5390,1.3279476E7,521421.0,1460.0,0.0,1317.5390415715783,404.7280722920082,4077.0,0.0,96.73858998144722,299.6805098647814,115047.4616627586,128.95315315093015,7755.25549521595,80448.43685070673,8585578.0,-879.0,1.19958292E8,11902.985909902822,100004.44033389588,8585789.0,1.0,1.1939744E8,22155.76915939881,135360.5354612752,8585578.0,2.0,1,0,0,0,201580,107800,84.02086952021624,44.93228363071392,0.0,4077.0,892.1754363283754,690.1889468328197,476360.7823301969,0,1,0,0,1,0,0,0,0.0,892.2331113840585,1317.5390415715844,96.73858998144712,0,0,0,0,0,0,10079,13279476,5390,521421,18693,18693,9304,20,1592982.0,0.0,1592982.0,1592982.0,8585578.0,0.0,8585578.0,8585578.0,No Label
10.211.55.42-62.210.138.3-60554-9001-6,62.210.138.3,9001,10.211.55.42,60554,6,17/05/2018 05:15:49,119995438,3539,1876,4648870.0,187946.0,1460.0,0.0,1313.6111896015811,407.2785380025487,3113.0,0.0,100.18443496801714,301.05254131507877,40308.332388436305,45.126715567303485,22163.915404506784,457010.9874360395,2.0239986E7,-1.0,1.19995438E8,33916.17806670437,565254.9363859458,2.024022E7,1.0,1.19988237E8,63993.72640000005,775081.6374292488,2.0239986E7,3.0,0,0,0,0,70780,37520,29.49278788415273,15.633927683150755,0.0,3113.0,893.0605612998526,687.9616601408843,473291.24582380167,0,0,0,0,1,0,0,0,0.0,893.2254847645429,1313.6111896015823,100.18443496801706,0,0,0,0,0,0,3539,4648870,1876,187946,18693,18693,3268,20,2939239.714285714,4593846.163779276,1.2221931E7,151.0,1.1511955285714285E7,5549587.950619569,2.0239986E7,6983468.0,No Label
10.211.55.1-10.211.55.42-67-68-17,10.211.55.42,68,10.211.55.1,67,17,17/05/2018 05:03:54,18383,1,1,300.0,301.0,300.0,300.0,300.0,0.0,301.0,301.0,301.0,0.0,32693.249197628244,108.79617037480281,18383.0,0.0,18383.0,18383.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,54.398085187401406,54.398085187401406,300.0,301.0,300.3333333333333,0.5773502691896257,0.3333333333333333,0,0,0,0,0,0,0,0,1.0,450.5,300.0,301.0,0,0,0,0,0,0,1,300,1,301,-1,-1,0,8,0,0,0,0,0,0,0,0,No Label
