Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,tor
17,282400,1,1,48.0,48.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,0.0,339.943342776204,7.0821529745042495,282400.0,0.0,282400.0,282400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,3.5410764872521248,3.5410764872521248,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,72.0,48.0,48.0,0,0,0,0,0,0,1,48,1,48,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6,119632613,130,93,58677.0,83856.0,1460.0,0.0,451.3615384615383,615.6987711566561,4380.0,0.0,901.6774193548384,1200.6309497174202,1191.422609819615,1.8640402011448165,538885.644144144,1782085.7715159112,9337090.0,1.0,119632613.0,927384.5968992248,2262889.213650875,9337318.0,1.0,119632422.0,1300352.413043479,2590900.1195491003,9337090.0,7.0,1,0,0,0,2600,1860,1.0866602069454088,0.7773799941994077,0.0,4380.0,642.7723214285718,930.708340563566,866218.0151945871,0,1,0,0,1,0,0,0,0.0,645.6547085201794,451.3615384615385,901.6774193548387,0,0,0,0,0,0,130,58677,93,83856,16384,24576,57,20,6354142.25,4833649.577445678,10914284.0,101119.0,8537043.625,1362820.6289880595,9337090.0,5462566.0,1
6,4683,4,1,77.0,0.0,77.0,0.0,19.25,38.5,0.0,0.0,0.0,0.0,16442.451420029898,1067.6916506512919,1170.75,2267.676986845055,4572.0,7.0,4683.0,1561.0,2608.053488715291,4572.0,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,20,854.1533205210336,213.5383301302584,0.0,77.0,12.833333333333336,31.43511836571745,988.1666666666664,0,0,0,0,1,0,0,0,0.0,15.4,19.25,0.0,0,0,0,0,0,0,4,77,1,0,16384,0,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6,3149,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,952.683391552874,1574.5,2216.7797590198265,3142.0,7.0,3149.0,1574.5,2216.7797590198265,3142.0,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,0,952.683391552874,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,16384,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6,2109566,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9480623028622948,2109566.0,0.0,2109566.0,2109566.0,2109566.0,2109566.0,0.0,2109566.0,2109566.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,0.9480623028622948,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,16384,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6,90111210,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06658439055473786,18022242.0,24677433.5222278,45055129.0,96.0,90111114.0,45055557.0,446.89148570989806,45055873.0,45055241.0,90111098.0,45055549.0,777.8174593052022,45056099.0,45054999.0,0,0,0,0,60,60,0.03329219527736893,0.03329219527736893,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,3,0,378,16384,0,20,541.0,606.6976182580578,970.0,112.0,45055016.0,159.80613254815975,45055129.0,45054903.0,0
6,6967,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.6014066312617,3483.5,4919.3418767148105,6962.0,5.0,6967.0,3483.5,4919.3418767148105,6962.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,0,430.6014066312617,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,16384,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6,90112177,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06658367603304045,18022435.4,24678052.53737404,45055911.0,91.0,90111987.0,45055993.5,12.020815280171304,45056002.0,45055985.0,90112056.0,45056028.0,103.23759005323593,45056101.0,45055955.0,0,0,0,0,60,60,0.03329183801652024,0.03329183801652024,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,3,0,378,16384,0,20,106.0,21.213203435596427,121.0,91.0,45055887.5,33.23401871576773,45055911.0,45055864.0,0
17,113087481,39,39,1604.0,3966.0,52.0,32.0,41.12820512820512,6.701058389221994,154.0,48.0,101.69230769230768,24.022088351035162,49.25390459444403,0.6897315185577438,1468668.5844155848,6649327.870536186,40718212.0,1.0,113081957.0,2975840.9736842117,9286808.252259813,40721948.0,39.0,113083809.0,2975889.7105263164,9286408.630575892,40722177.0,1.0,0,0,0,0,312,312,0.3448657592788719,0.3448657592788719,32.0,154.0,71.10126582278481,35.036462668566706,1227.5537163258687,0,0,0,0,0,0,0,0,1.0,72.01282051282051,41.12820512820513,101.69230769230772,0,0,0,0,0,0,39,1604,39,3966,-1,-1,38,8,762656.5,1510406.6628592666,3028255.0,3829.0,27507745.75,12862693.497074667,40718212.0,9849642.0,0
6,53662939,5,3,123.0,46.0,46.0,0.0,24.6,23.27659768952499,46.0,0.0,15.333333333333332,26.558112382722783,3.1492870712876906,0.14907867793077825,7666134.142857143,20216256.94437375,53512123.0,28.0,53662939.0,13415734.75,26731017.36194189,53512123.0,31.0,53661686.0,26830843.0,37733597.96553965,53512526.0,149160.0,1,0,0,0,100,60,0.0931741737067364,0.05590450422404185,0.0,46.0,23.88888888888889,23.154073315749674,536.1111111111112,0,1,0,0,1,0,0,0,0.0,26.875,24.6,15.333333333333336,0,0,0,0,0,0,5,123,3,46,478,16384,2,20,149376.0,0.0,149376.0,149376.0,53512123.0,0.0,53512123.0,53512123.0,0
