Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,class
17,733,1,1,33.0,185.0,33.0,33.0,33.0,0.0,185.0,185.0,185.0,0.0,297407.9126875852,2728.512960436562,733.0,0.0,733.0,733.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,1364.256480218281,1364.256480218281,33.0,185.0,83.66666666666666,87.75724091682311,7701.333333333332,0,0,0,0,0,0,0,0,1.0,125.5,33.0,185.0,0,0,0,0,0,0,1,33,1,185,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
17,287,1,1,33.0,185.0,33.0,33.0,33.0,0.0,185.0,185.0,185.0,0.0,759581.8815331011,6968.641114982579,287.0,0.0,287.0,287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,3484.320557491289,3484.320557491289,33.0,185.0,83.66666666666666,87.75724091682311,7701.333333333332,0,0,0,0,0,0,0,0,1.0,125.5,33.0,185.0,0,0,0,0,0,0,1,33,1,185,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
17,123292,1,1,45.0,94.0,45.0,45.0,45.0,0.0,94.0,94.0,94.0,0.0,1127.4048600071374,16.221652661973202,123292.0,0.0,123292.0,123292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,8.110826330986601,8.110826330986601,45.0,94.0,61.33333333333333,28.29016319029166,800.3333333333333,0,0,0,0,0,0,0,0,1.0,92.0,45.0,94.0,0,0,0,0,0,0,1,45,1,94,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
17,70263159,5,0,870.0,0.0,174.0,174.0,174.0,0.0,0.0,0.0,0.0,0.0,12.382022277136727,0.0711610475697513,17565789.75,32131174.17220905,65762551.0,1499359.0,70263159.0,17565789.75,32131174.17220905,65762551.0,1499359.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,0.0711610475697513,0.0,174.0,174.0,174.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,208.8,174.0,0.0,0,0,0,0,0,0,5,870,0,0,-1,-1,4,8,0.0,0.0,0.0,0.0,65762551.0,0.0,65762551.0,65762551.0,3
17,157549,1,1,37.0,228.0,37.0,37.0,37.0,0.0,228.0,228.0,228.0,0.0,1682.0163885521329,12.694463309827421,157549.0,0.0,157549.0,157549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,6.347231654913711,6.347231654913711,37.0,228.0,100.66666666666666,110.27390141521853,12160.333333333332,0,0,0,0,0,0,0,0,1.0,151.0,37.0,228.0,0,0,0,0,0,0,1,37,1,228,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
17,119983311,2718,6879,566978.0,730688.0,367.0,22.0,208.6011773362772,117.00785574297821,151.0,38.0,106.22009012937927,23.033241410588985,10815.38748334758,79.98612407020507,12503.471342225876,7346.021878571434,59297.0,3.0,119941396.0,44144.79057784309,22665.659961516747,146129.0,10.0,119976466.0,17443.51061355052,6516.2647674282825,106697.0,3.0,0,0,0,0,21744,55032,22.653150486903964,57.332973583301104,22.0,367.0,135.22796415919993,79.90936906388882,6385.507264188792,0,0,0,0,0,0,0,0,2.0,135.24205480879442,208.60117733627663,106.22009012937927,0,0,0,0,0,0,2718,566978,6879,730688,-1,-1,2717,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
17,408,1,1,36.0,164.0,36.0,36.0,36.0,0.0,164.0,164.0,164.0,0.0,490196.0784313725,4901.960784313726,408.0,0.0,408.0,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,2450.980392156863,2450.980392156863,36.0,164.0,78.66666666666666,73.9008344562721,5461.333333333333,0,0,0,0,0,0,0,0,1.0,118.0,36.0,164.0,0,0,0,0,0,0,1,36,1,164,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
6,598,3,1,77.0,0.0,46.0,0.0,25.666666666666664,23.459184413217212,0.0,0.0,0.0,0.0,128762.54180602006,6688.963210702343,199.3333333333333,229.85720204799614,461.0,30.0,598.0,299.0,380.42344827836257,568.0,30.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,60,20,5016.722408026756,1672.2408026755857,0.0,46.0,24.6,23.27659768952499,541.8,0,1,0,0,1,0,0,0,0.0,30.75,25.66666666666667,0.0,0,0,0,0,0,0,3,77,1,0,384,16384,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
6,97272263,64,38,91427.0,29227.0,2676.0,0.0,1428.546875,1180.1108090248904,4821.0,0.0,769.1315789473688,1234.0437631000325,1240.374144477342,1.048603135716088,963091.7128712876,5761323.213723742,45024949.0,2.0,97272263.0,1544004.174603174,7255629.66687536,45024949.0,2.0,97215427.0,2627443.972972973,9381294.137472693,45081194.0,2.0,0,0,0,0,2048,1228,0.6579470655473494,0.39065607016873866,0.0,4821.0,1184.3883495145635,1230.6348929974865,1514462.2398629354,0,0,0,0,1,0,0,0,0.0,1196.0,1428.546875,769.1315789473683,0,0,0,0,0,0,64,91427,38,29227,1399,184,47,32,1731509.3333333337,2825875.923241559,4994155.0,56230.0,30209471.66666667,18053376.244780626,45024949.0,10101315.0,2
17,119491361,50,0,2500.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,20.922014604888467,0.4184402920977693,2438599.2040816317,4295210.006090064,23411957.0,971.0,119491361.0,2438599.2040816317,4295210.006090064,23411957.0,971.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,400,0,0.4184402920977693,0.0,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,51.0,50.0,0.0,0,0,0,0,0,0,50,2500,0,0,-1,-1,49,8,3480520.875,5599931.153621506,17339643.0,1499374.0,10572790.875,5753355.146246937,23411957.0,5462651.0,5
